"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Pablo Hernández Jáuregui","Nivel 1","Instituto Mexicano Del Seguro Social",Patología
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""","Universidad Autonoma De Yucatán","Francisco  Solís Rodríguez",,"Centro de Investigaciones Regionales "" Dr. Hideyo Noguchi""",veterinario
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Celso Guerrero Borda",,"Instituto Nacional de Antropología e Historia","Desarrollo Rural"
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","José C.  Escobedo Bocardo",,"Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","PRODUCTOS METALURGICOS (ESPECIALES)"
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Dora Alicia  Cortés Hernández",,"Centro De Investigacion Y De Estudios Avanzados Del I.P.N.",Metalurgía
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Rafael Madrigal Maldonado",,"Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Procesos de Manufactura"
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Antonio Garnica Guzmán",,"Instituto Tecnologico De Morelia","Diseño mecánico"
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Jesús Aarón  Abarca Alejandre",,"Instituto Tecnologico De Morelia","Diseño mecánico"
"Fabricacion de prototipos de vastago femoral para protesis total de cadera.","Centro De Ingenieria Y Desarrollo Industrial (Cidesi)","Maria Del Carmen Moreno Bautista",,"Instituto Tecnologico De Morelia","Procesos de Manufactura"
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Leo  Joskovich",,"Hebrew Univeristy of Jerusalen, Computer Science Department, Israel","cirugía apoyada por ordenador"
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Eduardo José Bayro Corrochano","Nivel 2","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","visión computacional, robótica"
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Federico  Sandoval Ibarra","Nivel 1","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","diseño miniturizado"
"Biblioteca de Medios Audiovisuales de Educación Para la Salud en Discapacidad y Rehabilitación.","Centro Nacional De Rehabilitacion","Omar  Mercado Pedraza",,"Centro Nacional De Rehabilitación","Ingeniería en Computación"
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Aldo Alessi Montero",,"Centro Nacional De Rehabilitacion","Diseño de desp. electrónicos"
"Análisis de la marcha y balance para prevenir factores de riesgo en el paciente con Osteoporosis.","Centro Nacional De Rehabilitacion","Ivett quiñones uriotegui",,"Centro Nacional De Rehabilitacion","BIOMECÁNICA Y REHABILITACIÓN"
"Análisis de la marcha y balance para prevenir factores de riesgo en el paciente con Osteoporosis.","Centro Nacional De Rehabilitacion","Gerardo  Rodríguez Reyes",,"Centro Nacional De Rehabilitacion","INGENIERIA BIOMEDICA"
"Prevención de ulceras por presión en lesionados medulares usuarios de sillas de ruedas,a través de sistemas de liberación de presión","Centro Nacional De Rehabilitacion","Jorge Ernesto Letechipia Moreno",,"Centro Nacional De Rehabilitacion","Ingeniería Biomédica"
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Michelin  Alvarez Camacho",,"Centro Nacional De Rehabilitacion","Ingeniería Ortopédica"
"Prevención de ulceras por presión en lesionados medulares usuarios de sillas de ruedas,a través de sistemas de liberación de presión","Centro Nacional De Rehabilitacion","Lidia Nuñez Carrera",,"Centro Nacional De Rehabilitacion",Biomécanica
"Biblioteca de Medios Audiovisuales de Educación Para la Salud en Discapacidad y Rehabilitación.","Centro Nacional De Rehabilitacion","Luis David Cano Rodríguez",,"Centro Nacional De Rehabilitación","Ingeniería Electrónica"
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Victor Dominguez Hernández",Candidato,"Centro Nacional De Rehabilitacion","Elemento Finito"
"DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACION ESTRATEGICA SOBRE TECNOLOGIA PARA LA SALUD(TPS)","Fundacion Mexicana Para La Salud, A.C.","Guillermo M. Mallén Fullerton",,"Fundacion Mexicana Para La Salud, A.C.","APLICACIONES DE LA INFORMATICA"
"DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACION ESTRATEGICA SOBRE TECNOLOGIA PARA LA SALUD(TPS)","Fundacion Mexicana Para La Salud, A.C.","María Padilla Longoria",,"Fundacion Mexicana Para La Salud, A.C.","Ingenieria biomédica"
"MODELO DE INTERVENCIÓN MULTIDISCIPLINAR PARA DETENER EL AVANCE Y REVERTIR EL PROCESO DE INTOLERANCIA A LA GLUCOSA EN PERSONAS DE ALTO RIESGO","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Ing. D.E.S. Ismael Solórzano Pedroza",,"Kawasaky Robotics","Biomecánica del Ejercicio"
"Efectividad del Mètodo PRDA-PASS en niños con Discapacidad para la Lectura de la ciudad de La Paz Baja California Sur","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Hèctor Galvàn Oseguera",,"Secretarìa de Educaciòn Pùblica en el estado de Baja California Sur","Ciencias de la Computaciòn"
"Lanceta láser","Instituto Politecnico Nacional","Hector Girón  Castillo",,"Instituto de Estudios Superiores de Tamaulipas","DISPOSITIVOS DE LASER"
"Lanceta láser","Instituto Politecnico Nacional","Gabriela  Camero Berrones",,"Instituto Politecnico Nacional","TECNOLOGIA ELECTRONICA"
"Suplementación de hierro más antioxidantes para eliminar la muy alta prevalencia de anemia en México y sus consecuencias en la salud. Comparación con los métodos actualmente utilizados por la Secretaría de Salud","Universidad Autonoma De Queretaro","Miguel Angel Duerte Vazquez",Candidato,"Universidad Autónoma de Querétaro",nutrimentos
"Preparación por extrusión y caracterización de películas poliméricas electroconductoras con uso potencial en biosensores para ácido úrico y urea","Universidad De Sonora","Pedro Jesus Herrera Franco","Nivel 3","Centro De Investigación Científica De Yucatán","Propiedades mecánicas de polím"
"Analisis del comportamiento espectral del epitelio escamoso normal del cervix y el epitelio acetoblanco por infeccion de virus del papiloma mediante el procesamiento digital de imagenes colposcopicas usando un modelo dinamico lineal.","Universidad Veracruzana","Josué Antonio  Menéndez Rodela",,"Universidad Veracruzana","Informática (tesista)"
"Analisis del comportamiento espectral del epitelio escamoso normal del cervix y el epitelio acetoblanco por infeccion de virus del papiloma mediante el procesamiento digital de imagenes colposcopicas usando un modelo dinamico lineal.","Universidad Veracruzana","Ricardo  De La O Saldivar",,"Universidad Veracruzana","Sist.Computacionales (tesista)"
"Uso de Colágena-PVP para el tratamiento de la Osteoartrosis","Aspid, S.A De C.V.","Guadalupe Janette Furuzawa Carballeda","Nivel 1","Instituto Nacional De Ciencias Medicas Y La Nutricion ""Salvador Zubiran""","Biología celular"
"Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas","Centro Nacional De Rehabilitacion","Rocio Gómez Ortega",,"Centro Nacional De Rehabilitacion","BIOLOGIA CELULAR"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Valentín Matínez López",,"Centro Nacional De Rehabilitación","BIOLOGIA CELULAR"
"Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas","Centro Nacional De Rehabilitacion","Leonora Casas Avila",,"Centro Nacional De Rehabilitación","BIOLOGIA MOLECULAR"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Jesús  Chimal Monroy","Nivel 1","Universidad Nacional Autónoma De México","BIOLOGIA MOLECULAR"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Jenniffer Ellisseff N/a",,"Whitaker Institute Of Biomedical Engineering",Biomateriales
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Itzarith Daniela Forcada Pérez",,"Universidad Iberoamericana. Cnetro Nacional de Rehabilitación","Ingenieriería Biomédica"
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Sandra Raquel Reyes Carmona",,"Instituto Mexicano Del Seguro Social","BIOLOGIA ANIMAL Y ZOOLOGIA"
"El transcriptoma de retinoblastomas primarios.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Norma Pernas Buitrón",,"Hospital de Pediatría CMN SXXI","CULTIVO DE TEJIDOS"
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Nidia Pazos Salazar",,"Benemerita Universidad Autonoma De Puebla","BIOLOGIA MOLECULAR"
"Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Noé Velázquez Márquez",,"Benemerita Universidad Autonoma De Puebla","Biología Molecular del Cáncer"
"Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Sandra Raquel Reyes Carmona",,"Benemerita Universidad Autonoma De Puebla","Cáncer cervicouterino"
"Desarrollo de fitofarmacos prototipo a partir de Hibiscus sabdariffa y Mimosa tenuiflora","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Iris Feria Romero",,Misma,Genética
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Verónica  Vallejo Ruiz","Nivel 1","Instituto Mexicano Del Seguro Social","Glicobiología del cáncer"
"ESTUDIO DE GENES REGIONES CROMOSOMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Adriana Sánchez Boiso",,"Unidad De Investigación Médica En Genética  Humana, Hospital De Pediatría, Cmn Sxxi, Imss.",Microarreglos
"ESTUDIO DE GENES REGIONES CROMOSOMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Normand García Hernández",,"Unidad De Investigación Médica En Genética  Humana, Hospital De Pediatría, Cmn Sxxi, Imss.",Microarreglos
"Marcadores biomoleculares aplicables al diagnóstico citológico del cáncer cervicouterino.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Alejandro García Carrancá","Nivel 2","Instituto de Investigaciones Biomédicas","Oncología Molecular"
"ESTUDIO DE GENES REGIONES CROMOSOMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Jörg Hoheisel H.",,"Centro Alemán De Investigación En Cáncer (dkfz), Heidelberg, Alemania.",Proteomica
"ESTUDIO DE GENES REGIONES CROMOSOMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Rafael Martínez Gallegos",,"Unidad De Investigación Médica En Genética  Humana, Hospital De Pediatría, Cmn Sxxi, Imss.",Proteomica
"Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Dolores López Morales",,"Instituo Mexicano Del Seguro Social-Fondo Para El Fomento A La Investigación",BIOQUIMICA
"Desarrollo de fitofarmacos prototipo a partir de Hibiscus sabdariffa y Mimosa tenuiflora","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Silvia Arzate Trujillo",,Misma,BIOQUIMICA
"Desarrollo de fitofarmacos prototipo a partir de Hibiscus sabdariffa y Mimosa tenuiflora","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Erika Rivera Arce",,Misma,Farmacognosia
"ESTUDIO DE GENES REGIONES CROMOSOMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Mónica Sierra P.",,"Hospital Juárez De México.","Citogenética Molecular"
"PAPEL DE LA APOPTOSIS DE CELULAS ENDOTELIALES EN EL DAÑO TISULAR DEL PIE DIABÉTICO CON INFECCION.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Vilma Carolina Bekker Méndez","Nivel 1","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica",INMUNOLOGIA
"Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Ana Laura Rosas García",,"Instituto Politecnico Nacional","Antígenos en Cáncer"
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Rosa Del Carmen Rocha Gracia",,"Benemerita Universidad Autonoma De Puebla",MICROBIOLOGIA
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Gerardo Santos López",,"Instituto Mexicano del Seguro Social",MICROBIOLOGIA
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Catalina Flores Serrano",,"Instituto Mexicano Del Seguro Social",MICROBIOLOGIA
"Interaccion Genotipo-Fenotipo en las Hemofilias A y B ""Centro para el diagnóstico y tratamiento de la hemofilia en población mexicana""","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Biol. Claudia Beltran Miranda",,"Centro Universitario De Ciencias De La Salud, Universidad De Guadalajara","Genética Humana"
"Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Julio Roberto Reyes Leyva","Nivel 1","Instituto Mexicano Del Seguro Social-Fondo Para El Fomento A La Investigación","Virus neurotrópicos"
"ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CANCER DE MAMA","Instituto Nacional De Cancerologia","Francisco Rafael Jurado León",,"Institituo Nacional De Cancerología","BIOLOGIA CELULAR"
"ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CANCER DE MAMA","Instituto Nacional De Cancerologia","Norma Hernández Gómez",,"Instituto Nacional De Cancerología","BIOLOGIA CELULAR"
"ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CANCER DE MAMA","Instituto Nacional De Cancerologia","Teresa Cadena Gúzman",,"Instituto Nacional de Cancerología","Citometría de Flujo-inmunohist"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","María Eugenia Hernández  Gutiérrez",,"Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Señalización Intracelular"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Adriana Barba Montoya",,"Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","BIOLOGIA MOLECULAR"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Eric Vides Borrell",,"Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","BIOLOGIA MOLECULAR"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Ricardo José Rodríguez Enríquez",,"Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","BIOLOGIA MOLECULAR"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Sonia Mayra Pérez Tapia",,"Instituto Politecnico Nacional",INMUNOLOGIA
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Iris Citlali Elvira Estrada García","Nivel 2","Instituto Politecnico Nacional","Inmunología Molecular"
"Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.","Instituto Nacional De Psiquiatria ¿Ramon De La Fuente Muñiz¿","Sergio Estrada Parra","Nivel 3","Instituto Politecnico Nacional",Inmunoquímica
"Análisis de los mecanismos moleculares de patogenicidad presentes en la coinfección con el VIH-1 y el VHC.","Universidad Autonoma De Nuevo Leon","Eda Guadalupe Ramírez Valles",,"Laboratorio de Infectología Molecular, Facultad de Medicina",Virología
"Análisis de los mecanismos moleculares de patogenicidad presentes en la coinfección con el VIH-1 y el VHC.","Universidad Autonoma De Nuevo Leon","Ma. De Lourdes Garza Rodríguez",,"Unidad de Diagnóstico Molecular",Virología
"Diseño de medios de cultivo para la propagación de líneas celulares de mamiferos para evaluar la actividad citotóxica de extractos de plantas","Universidad Autonoma De Nuevo Leon","Pilar  Carranza  Rosales",,"Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Biología Celular"
"Diseño de medios de cultivo para la propagación de líneas celulares de mamiferos para evaluar la actividad citotóxica de extractos de plantas","Universidad Autonoma De Nuevo Leon","Delia Elva Cruz Vega","Nivel 1","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica",Biotecnología
"Diseño de medios de cultivo para la propagación de líneas celulares de mamiferos para evaluar la actividad citotóxica de extractos de plantas","Universidad Autonoma De Nuevo Leon","Katiuska Arevalo Niño",,"Universidad Autonoma De Nuevo Leon",Biotecnología
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""","Universidad Autonoma De Yucatán","José  Pérez Mutul",,"Centro de Investigaciones Regionales Dr Hideyo Noguchi","Biología Molecular"
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""","Universidad Autonoma De Yucatán","María Del Rosario  García Miss",,"Centro de Investigaciones Regionales Dr Hideyo Noguchi",Inmuno-parasitología
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""","Universidad Autonoma De Yucatán","Luis Jorge Gamboa Albornoz",,"Secretaria de Salud del estado de Yucatán",Psiquiatria
"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán""","Universidad Autonoma De Yucatán","Beatriz Navedo Avila",,"Secretaria de Salud del estado de Yucatán","Salud Pública"
"Estudio del potencial de una vacuna génica para prevenir la infección por virus del papiloma humano genital","Universidad Nacional Autonoma De Mexico","Tania Valentina López Pérez",,"Universidad Nacional Autonoma De Mexico",Inmunología
"Estudio del potencial de una vacuna génica para prevenir la infección por virus del papiloma humano genital","Universidad Nacional Autonoma De Mexico","Angélica Adayisa Villatoro Hernández",,"Universidad Nacional Autonoma De Mexico","Biología Molecular"
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Ana  Pérez Cardona",,"Instituto Nacional de Antropología e Historia",Etnobotánica
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Edelmira Linares Mazari","Nivel 1","Universidad Nacional Autónoma de México",Etnobotánica
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Robert Bye Boetler","Nivel 3","Universidad Nacional Autónoma De México",Etnobotànico
"Optimización de la terapia antipsicótica con base en un enfoque cronofarmacológico.","Universidad Nacional Autonoma De Mexico","Carlos Alejandro Torner Aguilar",,"Universidad Autonoma Metropolitana","Neurociencias y psiquiatría"
"Estudio del potencial de una vacuna génica para prevenir la infección por virus del papiloma humano genital","Universidad Nacional Autonoma De Mexico","Leticia Rocha Zavaleta","Nivel 1","Instituto de Investigaciones Biomédicas","Anticuerpos antivirales"
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Gilberto  Castañeda Hernández","Nivel 2",Cinvestav-IPN,Farmacología
"ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD","Universidad Nacional Autonoma De Mexico","Andrés  Navarrete Castro","Nivel 1","Universidad Nacional Autónoma De México",Farmacología
"Optimización de la terapia antipsicótica con base en un enfoque cronofarmacológico.","Universidad Nacional Autonoma De Mexico","Rene Raúl Drucker Colín",Emérito,"Universidad Nacional Autonoma De Mexico",Neurociencias
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Hector Arreola Ornelas",,"Fundación Mexicana para la salud","ECONOMIA DE LA SALUD"
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Jorge Guzman Caniopan",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","ECONOMIA DE LA SALUD"
"Mujeres Compañeras de Migrantes y Vulnerabilidad a ITS/VIH/SIDA","Instituto Nacional De Salud Publica","Mirka Negroni Belén",,"Centro de Investigación en Sistemas de Salud","Administración Pública"
"Sindrome de desgaste profesional en trabajadores del primer nivel de atención a la salud factores de riesgo y su influencia en el desempeño institucional.","Servicios De Salud De San Luis Potosí","Antonio Aguilera Ontiveros",,"El Colegio De San Luis, A.C.","Planeacion y Sistemas"
"Mortalidad materna (MM) en regiones indígenas: Una propuesta metodológica para identificar a municipios de alto riesgo en salud materna","Centro De Investigaciones Y Estudios Superiores En Antropologia Social (Ciesas)","Dra. Ma. Rosario Cárdenas Elizalde","Nivel 1","Universidad Autonoma Metropolitana",MORTALIDAD
