"Año Convocatoria",Titulo
2002,"INNOVACION DE LA PRUEBA DE DIAGNOSTICO CLINICO PARA AFECCIONES HEPATICAS UTILIZANDO LA LECTINA DE PHASEOLUS COCCINEUS VAR. ""ALUBIA""."
2002,"CELULAS HUMANAS DE LA SANGRE DE CORDON UMBILICAL COMO FUENTE PARA LA GENERACION DE CELULAS Y TEJIDOS CON FINES DE TRASPLANTE"
2002,"OBTENCION DE CELULAS HEMATOPOYETICAS PROCEDENTES DE SANGRE DE CORDON UMBILICAL "
2002,"CARACTERIZACION DE LA DROGO-RESISTENCIA A MYCOBACTERIUM TUBERCULOSIS EN PACIENTES CON TUBERCULOSIS PULMONAR EN MERIDA, YUCATAN"
2002,"LA MEDICINA HERBOLARIA. RASTERO SISTEMATICO DE LA CALIDAD DE LOS PRODUCTOS MAS UTILIZADOS POR LA POBLACION DEL NORESTE DE MEXICO."
2002,"EL ACIDO DOCOSAHEXAENOICO (DHA) DE LA DIETA INHIBE EL EFECTO NEGATIVO DE LAS INFECCIONES SOBRE EL ESTADO NUTRICIO AL MODULAR LA PRODUCCION DE IL-1BETA, IL-6, IL-8, TNF ALFA Y LEPTINA EN NIÑOS CON SEPSIS Y NEUMONIA."
2002,"THE ABSORPTION OF IRON AND ZINC FROM TYPICAL RURAL AND URBAN MEXICAN DIETS USING ISOTOPIC TECHNIQUES"
2002,"EVALUACION DE LAS CONDICIONES DE TRABAJO Y ESTRES DURANTE EL EMBARAZO EN MUJERES DERECHOHABIENTES DEL IMSS."
2002,"EL PEATON ADULTO LESIONADO EN EVENTOS DE TRAFICO DE VEHICULOS DE MOTOR DURANTE EL TRAYECTO CASA-TRABAJO-CASA."
2002,"EFECTOS EN EL RIÑON Y EXPOSICION A PLOMO EN SANTA MARIA ATZOMPA, OAXACA. "
2002,"EVALUACION DEL DESEMPEÑO DE LOS SERVICIOS DE SALUD PREVENTIVOS EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL. MEDICION DE COBERTURAS"
2002,"ENVEJECIMIENTO, POBREZA Y SALUD EN POBLACION URBANA"
2002,"DIFERENCIAS EN LA ADHESION DE CELULAS ENDOTELIALES DERIVADAS DE CORDON UMBILICAL DE RECIEN NACIDOS SANOS A  MONOCITOS, LINFOCITOS Y PLAQUETAS CON BASE A SUS ANTECEDENTES FAMILIARES ATEROGENICOS."
2002,"ESTUDIO DOBLE CIEGO DEL USO DE COLAGENA-POLIVINILPIRROLIDONA (COLAGENA-PVP) APLICADA POR VIA INTRAMUSCULAR COMPARADA CON PLACEBO EN PACIENTES CON ARTRITIS REUMATOIDE"
2002,"FACTORES DE RIESGO DE CANCER DE MAMA EN MEXICO: PATRONES MAMOGRAFICOS, PEPTIDO C Y FACTORES DE CRECIMIENTO. UN ESTUDIO MULTICENTRICO"
2002,"ENCUESTA CONTINUA DE SALUD EN MEXICO"
2002,"ANALISIS DEL ESTADO NUTRICIONAL DE LOS NIÑOS EN MEXICO, BASADO EN PATRONES TERRITORIALES, PARA EL DESARROLLO DE LAS POLITICAS DE SALUD: INDICE PREDICTIVO DE NUTRICION "
2002,"DESARROLLO DE TECNOLOGIAS PARA LA FABRICACION DE FARMOQUIMICOS GENERICOS"
2002,"EFECTOS REPRODUCTIVOS ASOCIADOS CON LA EXPOSICION A PLAGUICIDAS EN  TRABAJADORES DE LA INDUSTRIA DE FLORES EN MEXICO"
2002,"IMPACTO ECONÓMICO EN EL SECTOR SALUD DE LAS ENFERMEDADES ASOCIADAS AL CONSUMO DE TABACO"
2002,"PRODUCCION POR INGENIERIA GENETICA DE LOS MIEMBROS DE LA FAMILIA DE LA HORMONA DEL CRECIMIENTO HUMANO."
2002,"RESPUESTA INMUNOLOGICA PERITONEAL Y ANTIOXIDANTES  EN MUJERES ESTERILES CON ENDOMETRIOSIS"
2002,"DESARROLLO Y EVALUACION DE MATERIALES NOVEDOSOS PARA LA ADMINISTRACION DE FARMACOS ANTINEOPLASICOS: MICELAS POLIMERICAS DE TAMAÑO CONTROLADO."
2002,"EVALUACION DE MARCADORES DE ESTRES OXIDATIVO EN NIÑOS ASMATICOS POR EXPOSICION A DIESEL EN LA CIUDAD DE MEXICO"
2002,"LOS ANTECEDENTES HEREDOFAMILIARES Y SU POSIBLE  RELACION CON LA SUSCEPTIBILIDAD ENDOTELIAL PARA DESARROLLAR ATEROSCLEROSIS"
2002,"DESARROLLO Y VALIDACION DE UNA ESTRATEGIA COMUNITARIA PARA LA REDUCCION DEL RIESGO DE DENGUE Y DIARREA EN ECOSISTEMAS URBANOS DE LA FRONTERA SUR MEXICO-GUATEMALA"
2002,"DESARROLLO DE ANTINEOPLASICOS SINTETICOS ""DE NOVO"" Y SU EVALUACION PRECLINICA "
2002,"HISTORIA NATURAL DEL VIRUS DEL PAPILOMA HUMANO EN HOMBRES: UN ESTUDIO MULTICENTRICO NACIONAL."
2002,"POLITICAS PUBLICAS SECTORIALES E INTERSECTORIALES PARA MEJORAR LOS NIVELES DE SALUD."
2002,"MODELO DE EVALUACION ESPACIAL DE COBERTURA, ACCESIBILIDAD Y CALIDAD DEL SISTEMA HOSPITALARIO DE LA SSA Y DESARROLLO DE ESTANDARES DE DESEMPEÑO"
2002,"COHORTE DE TRABAJADORES DEL IMSS MORELOS"
2002,"DETERMINANTES ECOLOGICOS, SOCIODEMOGRAFICOS Y CULTURALES DE LA TRANSMISION Y LA PARTICIPACION COMUNITARIA EN EL CONTROL DEL PALUDISMO EN LOS FOCOS HIPERENDEMICOS DE LA COSTA DEL OCEANO PACIFICO"
2002,"ENFOQUE ECOSISTEMICO PARA EL DESARROLLO DE METODOS DE CONTROL Y PREVENCION DE DENGUE ; ESTUDIO DE CASO EN YUCATAN, MEXICO"
2002,"ASEGURAMIENTO EN SALUD Y PROTECCION SOCIAL."
2002,"EVALUACION ANTROPOMETRICA DEL PIE DE UNA POBLACION DE DIABETICOS PARA EL DISEÑO DE UN CALZADO ADECUADO PARA ESTE GRUPO DE RIESGO"
2002,"CARACTERISTICAS SOCIOECONOMICAS Y GEOGRAFICAS ASOCIADAS A LA TRANSMISION DE HEPATITIS B EN LAS REGIONES DE MEXICO DE MAYOR PREVALENCIA"
2002,"EVALUACION DE LA INGESTION DE FITOESTROGENOS POR MUJERES QUE CONSUMEN LA DIETA RURAL Y URBANA MEXICANA, MEDIANTE LA MEDICION DE LA CONCENTRACION DE FITOESTROGENOS EN PLASMA Y SU EXCRECION EN ORINA, Y SU ASOCIACION CON LOS NIVELES DE COLESTEROL"
2002,"ESTUDIO INTERINSTITUCIONAL E INTERDISCIPLINARIO DE: I. PREVALENCIA DE DEMENCIA EN EL ESTADO DE JALISCO. II. MARCADORES PERIFERICOS BIOQUIMICOS Y MOLECULARES E IMAGENOLOGIA EN ENFERMEDAD ALZHEIMER. III. CENTRO DE ACOPIO DE CEREBROS HUMANOS"
2002,"DIAGNOSTICO SOBRE EL SISTEMA DE SALUD Y EL ESTADO DE SALUD EN MEXICO CON MIRAS AL CUMPLIMIENTO DE LOS OBJETIVOS DE DESARROLLO DE LA ORGANIZACION DE LAS NACIONES UNIDAS PARA EL MILENIO"
2002,"ASPECTOS GENOMICOS DE LA CATARATA CONGENITA Y EFECTOS DE LA EXPRESION GENICA IN SITU EN LA FORMACION DE LA CARATARA SENIL"
2002,"SISTEMA DE ASESORIA REMOTA EN CASO DE ENFERMEDADES CARDIOVASCULARES"
2002,"ASOCIACION ENTRE MULTIPLES FARMACOS Y ENFERMEDAD RESIDUAL MINIMA EN PACIENTES CON LEUCEMIA AGUDA"
2002,"EVALUACION DE LA ADICION DE HIERRO QUELADO Y NO QUELADO A LOS ALIMENTOS INFANTILES"
2002,"MICROCHIPS DE DNA PARA INVESTIGAR FACTORES VIRALES Y CELULARES ASOCIADOS A LA SOBREVIDA DE LAS PACIENTES CON CANCER CERVICO-UTERINO INFECTADAS CON EL VIRUS DEL PAPILOMA HUMANO 16 ASIATICO-AMERICANO"
2002,"DESARROLLO E INNOVACION DE BIOPROTESIS CARDIACAS"
2002,"APLICACIONES DE CIRUGIA ASISTIDA POR COMPUTADORA Y ROBOTICA MEDICA"
2002,"PROGRAMA DE DETECCION OPORTUNA DE CANCER CERVICAL BASADO EN LA PRUEBA DE VIRUS DE PAPILOMA HUMANO. EL ENSAYO COMUNITARIO DE MORELOS"
2002,"INVESTIGACION PARA LA ACCION: DEVELANDO EL CONSUMO EXCESIVO DE ALCOHOL COMO GENERADOR DE PROBLEMAS EN COMUNIDADES INDIGENAS ÑAHÑU"
2002,"DESARROLLO Y ESCALAMIENTO A NIVEL PILOTO DE UNA VACUNA CONJUGADA DE HAEMOPHILUS INFLUENZAE B (HIB)"
2002,"SEGUIMIENTO DE UNA COHORTE DE PACIENTES PREMENOPAUSICAS CON LUPUS ERITEMATOSO GENERALIZADO PARA MEDICION DE INCIDENCIA DE ENFERMEDAD CARDIOVASCULAR Y CAMBIOS EN LOS FACTORES DE RIESGO ASOCIADOS"
2002,"EXPOSICION OCUPACIONAL COMO FACTOR ASOCIADO A LA PRESENCIA DE CANCER PULMONAR, TUMOR MALIGNO DE SISTEMA NERVIOSO CENTRAL Y LEUCEMIA AGUDA EN TRABAJADORES ASEGURADOS AL INSTITUTO MEXICANO DEL SEGURO SOCIAL"
2002,"EVALUACION DE LA EVOLUCION CLINICA Y DE LA PRESCRIPCION FARMACOLOGICA QUE RECIBEN PACIENTES DIABETICOS TIPO 2 CON HIPERTENSION ARTERIAL E HIPERCOLESTEROLEMIA EN PRIMER NIVEL DE ATENCION, A TRAVES DE UNA RED DE BASES DE DATOS."
2003,"ESTUDIO DEL POTENCIAL DE UNA VACUNA GENICA PARA PREVENIR LA INFECCION POR VIRUS DEL PAPILOMA HUMANO GENITAL"
2003,"ANALISIS DE LOS MECANISMOS MOLECULARES DE PATOGENICIDAD PRESENTES EN LA COINFECCION CON EL VIH-1 Y EL VHC."
2003,"ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CANCER DE MAMA"
2003,"ANALISIS DEL COMPORTAMIENTO ESPECTRAL DEL EPITELIO ESCAMOSO NORMAL DEL CERVIX Y EL EPITELIO ACETOBLANCO POR INFECCION DE VIRUS DEL PAPILOMA MEDIANTE EL PROCESAMIENTO DIGITAL DE IMAGENES COLPOSCOPICAS USANDO UN MODELO DINAMICO LINEAL."
2003,"METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CANCER PULMONAR COMO METODO PARA EL DIAGNOSTICO TEMPRANO DE METASTASIS."
2003,"USO DE SONDAS MOLECULARES PARA IDENTIFICAR GENES DE RESISTENCIA A ANTIBIOTICOS ß-LACTAMICOS EN AISLAMIENTOS CLINICOS DE ENTEROBACTERIAS"
2003,"DESARROLLO DE FITOFARMACOS PROTOTIPO A PARTIR DE HIBISCUS SABDARIFFA Y MIMOSA TENUIFLORA"
2003,"EFECTO COADYUVANTE DEL EXTRACTO DIALIZABLE DE LEUCOCITOS (EDL) EN EL MANEJO FARMACOLOGICO Y TERAPEUTICO DE LA DEPRESION MAYOR."
2003,"IDENTIFICACION DEL VIRUS DE VARICELA ZOSTER EN CELULAS MONONUCLEARES DE PACIENTES CON ESCLEROSIS MULTIPLE"
2003,"LABORATORIO DE SALUD EN EL TRABAJO: AREA DE ERGONOMIA OCUPACIONAL."
2003,"EXPOSICION DE FTALATOS POR PROCEDIMIENTOS MEDICOS EN RECIEN NACIDOS VARONES Y EVALUACION DE SUS EFECTOS EN LA FUNCION GONADAL"
2003,"ELABORACION DE MONOGRAFIAS CIENTIFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACION MUNDIAL DE LA SALUD"
2003,"MECANISMOS DE ACCION DE LA ANTICONCEPCION DE EMERGENCIA: EFECTOS SOBRE LA EXPRESION ENDOMETRIAL DE GENES Y PROTEINAS REGULADAS POR PROGESTERONA."
2003,"SALUD MENTAL DE MAMAS Y BEBES: PREVENCION DE LA DEPRESION POSPARTO"
2003,"MARCADORES BIOMOLECULARES APLICABLES AL DIAGNOSTICO CITOLOGICO DEL CANCER CERVICOUTERINO."
2003,"PREPARACION POR EXTRUSION Y CARACTERIZACION DE PELICULAS POLIMERICAS ELECTROCONDUCTORAS CON USO POTENCIAL EN BIOSENSORES PARA ACIDO URICO Y UREA"
2003,"PARTICIPACION DE LAS LESIONES VASCULARES Y LAS ALTERACIONES HEMODINAMICAS GLOMERULARES EN EL DAÑO TUBULO-INTERSTICIAL CRONICO POR PROTEINURIA MASIVA. ESTUDIO DE ESTRATEGIAS PARA RETARDAR LA PROGRESION A LA INSUFICIENCIA RENAL TERMINAL?."
2003,"DIAGNOSTICO ETIOLOGICO DE LA DEGENERACION ESPINOCEREBELOSA EN POBLACION MEXICANA"
2003,"POLIMORFISMOS GÉNICOS ASOCIADOS A LA PÉRDIDA DE LA DENSIDAD MINERAL ÓSEA DE COLUMNA VERTEBRAL EN MUJERES MEXICANAS"
2003,"DISEÑO DE MEDIOS DE CULTIVO PARA LA PROPAGACION DE LINEAS CELULARES DE MAMIFEROS PARA EVALUAR LA ACTIVIDAD CITOTOXICA DE EXTRACTOS DE PLANTAS"
2003,"CARACTERISTICAS Y NECESIDADES DEL CUIDADOR PRIMARIO EN ENFERMEDADES NEURODEGENERATIVAS. DISEÑO Y EVALUACION DE UN PROGRAMA DE INTERVENCION"
2003,"MODELO DE INTERVENCION MULTIDISCIPLINAR PARA DETENER EL AVANCE Y REVERTIR EL PROCESO DE INTOLERANCIA A LA GLUCOSA EN PERSONAS DE ALTO RIESGO"
2003,"ANALISIS COSTO-EFECTIVIDAD DE LA VACUNA CONTRA EL VIRUS DEL PAPILOMA HUMANO Y SU IMPACTO ECONOMICO EN LA PREVENCION Y TRATAMIENTO DEL CANCER CERVICO-UTERINO EN MEXICO"
2003,"SINDROME DEL NIÑO SACUDIDO. PREVALENCIA EN UN HOSPITAL PEDIATRICO DE TERCER NIVEL."
2003,"UTILIZACION Y CALIDAD TECNICA DEL ULTRASONIDO Y LA MAMOGRAFIA EN LA PREVENCION DEL CANCER MAMARIO EN SERVICIOS DE SALUD DE LA SECRETARIA DE SALUD EN LA CIUDAD DE MEXICO"
2003,"ANALISIS DE LA MARCHA Y BALANCE PARA PREVENIR FACTORES DE RIESGO EN EL PACIENTE CON OSTEOPOROSIS."
2003,"EVALUACION DE IMPACTO DE OPORTUNIDADES EN LA MORTALIDAD Y MORBILIDAD MATERNA"
2003,"LA PARTICIPACION DE LOS JOVENES EN LA PREVENCION DE LOS ACCIDENTES DE TRAFICO EN LA CIUDAD DE CUERNAVACA: DISEÑO Y EVALUACION DE UNA CAMPAÑA INFORMATIVA A PARTIR DE LA INVESTIGACION."
2003,"DESARROLLO Y EVALUACION COMPARATIVA DE TRES INSTRUMENTOS PARA LA ADMINISTRACION DE VACUNAS ANTISARAMPIONOSAS POR VIA AEROSOL"
2003,"RESPUESTA INMUNE A LA VACUNA COMBINADA CONTRA SARAMPION, RUBEOLA Y PAROTIDITIS (SRP) APLICADA POR AEROSOL O POR VIA SUBCUTANEA EN ADULTOS JOVENES"
2003,"CONTRIBUCION DEL LOS PATRONES DE ALIMENTACION, DE ACTIVIDAD FISICA Y EL GASTO TOTAL DE ENERGIA A LA GENESIS DE LA OBESIDAD DURANTE LA EDAD ESCOLAR."
2003,"NEURONAVEGADOR ECONOMICO DE USO MULTIPLE"
2003,"EVALUACION DE LA REDUCCION DE FUENTES AEREAS DE PLOMO EN UNA MUESTRA DE MENORES DE 15 AÑOS DEL DISTRITO FEDERAL, 1998 Y 2003 - 2004."
2003,"FABRICACION DE PROTOTIPOS DE VASTAGO FEMORAL PARA PROTESIS TOTAL DE CADERA."
2003,"BIBLIOTECA DE MEDIOS AUDIOVISUALES DE EDUCACION PARA LA SALUD EN DISCAPACIDAD Y REHABILITACION."
2003,"INICIO OPORTUNO DEL TRATAMIENTO CON DIALISIS PERITONEAL CONTINUA AMBULATORIA. ESTUDIO CONTROLADO ALEATORIZADO MULTICENTRICO."
2003,"TAMAÑO Y COMPOSICION CORPORAL EN NIÑOS Y ADOLESCENTE MEXICANOS: DESARROLLO DE ECUACIONES PARA ESTUDIOS EPIDEMIOLOGICOS."
2003,"MUJERES COMPAÑERAS DE MIGRANTES Y VULNERABILIDAD A ITS/VIH/SIDA"
2003,"INFLUENCIA DE LOS PARES Y CONSUMO DE TABACO EN EL AMBITO ESCOLAR: ANALISIS MULTINIVEL EN UN ESTUDIO DE COHORTE"
2003,"VIGILANCIA DE LA SALUD MENTAL EN NIÑOS Y ADOLESCENTES: UN PROGRAMA PILOTO"
2003,"FRECUENCIA, FACTORES DE RIESGO Y DISEMINACION DE RESISTENCIA A FLUOROQUINOLONAS EN BACTERIAS CAUSANTES DE INFECCIONES NOSOCOMIALES Y COMUNITARIAS EN MEXICO: CARACTERIZACION MOLECULAR"
2003,"DESARROLLO E IMPLEMENTACIÓN DE HERRAMIENTAS COMPUTACIONALES (TÉCNICAS DE INTELIGENCIA ARTIFICIAL) PARA APOYO EN EL DIAGNÓSTICO TEMPRANO DE CÁNCER DE MAMA"
2003,"CARACTERIZACION DE GENES MODIFICADORES RELACIONADOS CON LA EXPRESIVIDAD VARIABLE DE LA FIBROSIS QUISTICA"
2003,"EXPRESION DIFERENCIAL DE SIALILTRANSFERASAS Y ACIDO SIALICO EN BIOPSIAS DE CERVIX CON DIFERENTE GRADO DE NEOPLASIA Y SU USO POTENCIAL EN UN METODO DIAGNOSTICO PRONOSTICO."
2003,"EFECTO ANTIMICROBIANO DEL BARNIZ DE CLORHEXIDINA AL 1% EN EL CONTROL DE LA CARIES DE BIBERON"
2003,"TIEMPOS DE DURACION DE LAS INCAPACIDADES TEMPORALES PARA EL TRABAJO EN EL IMSS"
2003,"VALIDACION DE UNA GUIA BASADA EN SIGNOS Y SINTOMAS PARA LA IDENTIFICACION Y MANEJO DE PACIENTES CON FARINGOAMIGDALITIS AGUDA POR STREPTOCOCCUS PYOGENES"
2003,"ESTUDIO DE GENES, REGIONES CROMOSOMICAS Y ANALISIS DE VARIACIONES DE PROTEINAS EN CANCER DE MAMA DE MUJERES MEXICANAS."
2003,"HOSPITALIZACIONES EVITABLES POR CONDICIONES SENSIBLES A CUIDADO AMBULATORIO EN HOSPITALES GENERALES DE MEXICO, 2004"
2003,"COSTO EFECTIVIDAD DEL TRATAMIENTO Y PREVENCION DE OSTEOPOROSIS EN PACIENTES CON FRACTURA DE CADERA."
2003,"IMPLANTACION Y EVALUACION DE UNA INTERVENCION CONTRA EL TABAQUISMO EN SECUNDARIAS DE 10 ESTADOS DE MEXICO"
2003,"UTILIDAD DEL SUBSISTEMA AUTOMATIZADO DE EGRESOS HOSPITALARIOS (SAEH) COMO INSUMO PARA LA IMPLANTACION DE GRUPOS RELACIONADOS POR EL DIAGNOSTICO (GRD´S)"
2003,"EFECTIVIDAD DEL MÈTODO PRDA-PASS EN NIÑOS CON DISCAPACIDAD PARA LA LECTURA DE LA CIUDAD DE LA PAZ, BAJA CALIFORNIA SUR"
2003,"MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE"
2003,"EL TRANSCRIPTOMA DE RETINOBLASTOMAS PRIMARIOS."
2003,"CONSOLIDACION DE UNA RED DE INVESTIGACION Y DIAGNOSTICO DE ENFERMEDADES VIRALES"
2003,"IMPLANTACION DE UN SISTEMA DE VIGILANCIA ALIMENTARIA Y NUTRICIONAL(SISVAN) EN LAS GUARDERIAS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL"
2003,"PERCUTOR IMPLANTABLE PARA ACELERACION DE LA CONSOLIDACION DE NO-UNIONES OSEAS"
2003,"EPIDEMIOLOGIA MOLECULAR DE S. AUREUS RESISTENTE A METICILINA ADQUIRIDO EN HOSPITALES Y EN LA COMUNIDAD."
2003,"ASOCIACION ENTRE LA CAPACIDAD MASTICATORIA Y EL ESTADO FUNCIONAL DEL ANCIANO"
2003,"LANCETA LASER"
2003,"PREVENCION DE ULCERAS POR PRESION EN LESIONADOS MEDULARES USUARIOS DE SILLAS DE RUEDAS, A TRAVES DE SISTEMAS DE LIBERACION DE PRESION"
2003,"TRASPLANTE DE CELULAS AUTOLOGAS PARA LA REGENERACION DE CARTILAGO ARTICULAR, COMO ALTERNATIVA PARA REDUCIR EL COSTO DE LA ATENCION DE LA OSTEOARTRIRIS."
2003,"CONSECUENCIAS GENOTOXICAS DE LA QUIMIOTERAPIA ABVD EN GAMETOS Y CELULAS SOMATICAS DE PACIENTES CON ENFERMEDAD DE HODGKIN"
2003,"ACTIVIDAD OCUPACIONAL DEL PADRE Y RIESGO DE LEUCEMIA EN NIÑOS"
2003,"OPTIMIZACION DE LA TERAPIA ANTIPSICOTICA CON BASE EN UN ENFOQUE CRONOFARMACOLOGICO."
2003,"ANALISIS DE POLIMORFISMOS EN EL GEN RECEPTOR DE VITAMINA D EN PACIENTES CON OSTEOPOROSIS"
2003,"CALIDAD DE VIDA (CV) EN HOMBRES CON OSTEOPOROSIS (OP)"
2003,"MORTALIDAD MATERNA (MM) EN REGIONES INDIGENAS: UNA PROPUESTA METODOLOGICA PARA IDENTIFICAR A MUNICIPIOS DE ALTO RIESGO EN SALUD MATERNA"
2003,"EFICACIA DE UNA SOLUCION DE CITRATO DE POTASIO Y DIETA BAJA EN SODIO PARA LA PREVENCION DE LITIASIS URINARIA."
2003,"E-SALUD: APLICACION DE LAS NUEVAS TECNOLOGIAS DEL INTERNET Y LA INFORMATICA A UNA JURISDICCION SANITARIA TIPO EN SAN LUIS POTOSI."
2003,"DESARROLLO Y VALIDACION DE UN PROGRAMA DE EDUCACION PARA EL DIAGNOSTICO Y PREVENCION DE LA NEFROPATIA DIABETICA, APLICADO A MEDICOS GENERALES Y MEDICOS FAMILIARES DEL SECTOR SALUD."
2003,"DESARROLLO Y EVALUACION DE INDICADORES DE CALIDAD DE LA ATENCION MEDICA EN LA UNIDAD DE TERAPIA INTENSIVA. ESTUDIO MULTICENTRICO."
2003,"Colagena-PVP para el tratamiento de artritis reumatoide"
2003,"HEMOCULTIVOS A TRAVES DEL CATETER , ¿ES INFECCION O COLONIZACION?"
2003,"ESTUDIO COMPARATIVO PARA EVALUAR LA EFICACIA DE DOS ESTRATEGIAS DE TRATAMIENTO ANTIRRETROVIRAL EN PACIENTES CON ENFERMEDAD AVANZADA POR VIH."
2003,"FACTORES DE RIESGO PARA EL DESARROLLO DE ESPONDILITIS ANQUILOSANTE EN FAMILIARES CON EL GEN DE SUSCEPTIBILIDAD HLA-B27 DE PACIENTES CON LA ENFERMEDAD EN FAMILIAS DE CASOS MULITPLES: SEGUIMIENTO DE CASOS Y CONTROLES POR CINCO AÑOS"
2003,"INTERACCION GENOTIPO-FENOTIPO EN LAS HEMOFILIAS A Y B ""CENTRO PARA EL DIAGNOSTICO Y TRATAMIENTO DE LA HEMOFILIA EN POBLACION MEXICANA"""
2003,"USO DE COLAGENA-PVP PARA EL TRATAMIENTO DE LA OSTEOARTROSIS"
2003,"SINDROME DE DESGASTE PROFESIONAL EN TRABAJADORES DEL PRIMER NIVEL DE ATENCION A LA SALUD, FACTORES DE RIESGO Y SU INFLUENCIA EN EL DESEMPEÑO INSTITUCIONAL."
2003,"FACTORES DE RIESGO PARA LA DEPRESION EN UNA MUESTRA DE PACIENTES DEL HOSPITAL PSIQUIATRICO ""YUCATAN"""
2003,"IDENTIFICACION DE LA RESPUESTA INMUNE DE TIPO HUMORAL Y DE TIPO CELULAR A LA PRIMOINFECCION POR MYCOBACTERIUM TUBERCULOSIS CON FINES DIAGNOSTICOS EN CONTACTOS DE PACIENTES CON TUBERCULOSIS PULMONAR."
