"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"PROGRAMA DE EDUCACION PARA LA SALUD AMBIENTAL INFANTIL: IMPLEMENTACION DE TALLERES DE EDUCACION INFANTIL PARA SITIOS CONTAMINADOS.","Universidad Autónoma de San Luis Potosí","Ana Cristina Cubillas Tejeda",1,"Educación para la Salud"
"UN NUEVO ENFOQUE PARA EL ESTUDIO Y CONOCIMIENTO CLINICO-MOLECULAR DE ENFERMEDADES MUSCULARES EN MEXICO: DISTROFIA MUSCULAR Y MIOPATIA MITOCONDRIAL","Instituto Mexicano del Seguro Social","Ramon Mauricio Coral Vázquez",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"CREACION DE UNA CLINICA UNIVERSITARIA PARA EL DIAGNOSTICO Y TRATAMIENTO DE NIÑOS CON ANTECEDENTES PRE O PERINATALES DE RIESGO DE DAÑO CEREBRAL","Universidad Nacional Autónoma de México","Thalia Harmony Baillet",3,"Enfermedades Infecciosas y Parasitarias"
"DIETARY-GENE INTERACTIONS FOR GASTRIC CANCER RISK AND SURVIVAL.","Instituto Nacional de Salud Pública","Lizbeth Teresita López Carrillo",3,"Trastornos ligados al estilo de vida"
"UNA HUELLA GENETICA PARA DETERMINAR LA SUSCEPTIBILIDAD AL DESARROLLO DEL CANCER CERVICO UTERINO MEDIADA POR  LA INFECCION DEL VIRUS DEL PAPILOMA HUMANO: GENOMICA DE LOS GENES P53 Y E6 VIRAL","Instituto Mexicano del Seguro Social","Mauricio Salcedo Vargas",3,"Enfermedades Infecciosas y Parasitarias"
"QUINCE AÑOS DEL ESTUDIO PROSPECTIVO DE PLOMO EN MEXICO: UN ANALISIS INTEGRAL ","Instituto Nacional de Salud Pública","Stephen Joel Rothenberg Lorenz",3,"Enfermedades crónicas o degenerativas"
"MARCADORES GENETICOS EN SINDROMES CORONARIOS AGUDOS Y SU RELACION CON EVENTOS CARDIOVASCULARES ADVERSOS.","Universidad Autónoma de Nuevo León","Augusto Rojas Martínez",2,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"INNOVACION DE LA PRUEBA DE DIAGNOSTICO CLINICO PARA AFECCIONES HEPATICAS UTILIZANDO LA LECTINA DE PHASEOLUS COCCINEUS VAR. ""ALUBIA"".","Centro de Investigaciones Biológicas del Noroeste","Norma Yolanda Hernández Saavedra",2,"Enfermedades crónicas o degenerativas"
"CELULAS HUMANAS DE LA SANGRE DE CORDON UMBILICAL COMO FUENTE PARA LA GENERACION DE CELULAS Y TEJIDOS CON FINES DE TRASPLANTE","Instituto Mexicano del Seguro Social","Hector de Jesus Mayani Vivéros",3,"Trastornos Psiquiátricos o Neurológicos"
"OBTENCION DE CELULAS HEMATOPOYETICAS PROCEDENTES DE SANGRE DE CORDON UMBILICAL ","Centro Nacional de la Transfusión Sanguínea","Eva Delia Calderón Garcidueñas",,"Enfermedades crónicas o degenerativas"
"CARACTERIZACION DE LA DROGO-RESISTENCIA A MYCOBACTERIUM TUBERCULOSIS EN PACIENTES CON TUBERCULOSIS PULMONAR EN MERIDA, YUCATAN","Universidad Autónoma de Yucatán","Bertha María Guadalupe Jiménez Delgadillo",,"Neoplasias malignas"
"LA MEDICINA HERBOLARIA. RASTERO SISTEMATICO DE LA CALIDAD DE LOS PRODUCTOS MAS UTILIZADOS POR LA POBLACION DEL NORESTE DE MEXICO.","Universidad Autónoma de Nuevo León","Noemi Herminia Waksman Minsky",2,"Enfermedades crónicas o degenerativas"
"EL ACIDO DOCOSAHEXAENOICO (DHA) DE LA DIETA INHIBE EL EFECTO NEGATIVO DE LAS INFECCIONES SOBRE EL ESTADO NUTRICIO AL MODULAR LA PRODUCCION DE IL-1BETA, IL-6, IL-8, TNF ALFA Y LEPTINA EN NIÑOS CON SEPSIS Y NEUMONIA.","Instituto Mexicano del Seguro Social","Leonardo Homero Martínez Salgado",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"THE ABSORPTION OF IRON AND ZINC FROM TYPICAL RURAL AND URBAN MEXICAN DIETS USING ISOTOPIC TECHNIQUES","Instituto Nacional de Salud Pública","Salvador Francisco Villalpando Hernández",3,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LAS CONDICIONES DE TRABAJO Y ESTRES DURANTE EL EMBARAZO EN MUJERES DERECHOHABIENTES DEL IMSS.","Instituto Mexicano del Seguro Social","Laura del Pilar Torres Arreola",1,"Enfermedades del rezago y emergentes"
"EL PEATON ADULTO LESIONADO EN EVENTOS DE TRAFICO DE VEHICULOS DE MOTOR DURANTE EL TRAYECTO CASA-TRABAJO-CASA.","Universidad de Guadalajara","Alfredo de Jesus Celis De la Rosa",1,"Enfermedades Infecciosas y Parasitarias"
"EFECTOS EN EL RIÑON Y EXPOSICION A PLOMO EN SANTA MARIA ATZOMPA, OAXACA. ","Instituto Nacional de Salud Pública","María Rosalba Rojas Martínez",2,"Accidentes y Violencia"
"EVALUACION DEL DESEMPEÑO DE LOS SERVICIOS DE SALUD PREVENTIVOS EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL. MEDICION DE COBERTURAS","Instituto Mexicano del Seguro Social","Gonzalo Gutiérrez Trujillo",,"Enfermedades Infecciosas y Parasitarias"
"ENVEJECIMIENTO, POBREZA Y SALUD EN POBLACION URBANA","Instituto Nacional de Salud Pública","Velia Nelly Salgado Diez",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"DIFERENCIAS EN LA ADHESION DE CELULAS ENDOTELIALES DERIVADAS DE CORDON UMBILICAL DE RECIEN NACIDOS SANOS A  MONOCITOS, LINFOCITOS Y PLAQUETAS CON BASE A SUS ANTECEDENTES FAMILIARES ATEROGENICOS.","Centro de Investigación y de Estudios Avanzados del IPN","Leopoldo Flores Romo",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ESTUDIO DOBLE CIEGO DEL USO DE COLAGENA-POLIVINILPIRROLIDONA (COLAGENA-PVP) APLICADA POR VIA INTRAMUSCULAR COMPARADA CON PLACEBO EN PACIENTES CON ARTRITIS REUMATOIDE","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Guadalupe Janette Furuzawa Carballeda",2,"Enfermedades crónicas o degenerativas"
"FACTORES DE RIESGO DE CANCER DE MAMA EN MEXICO: PATRONES MAMOGRAFICOS, PEPTIDO C Y FACTORES DE CRECIMIENTO. UN ESTUDIO MULTICENTRICO","Instituto Nacional de Salud Pública","Gabriela Torres Mejía",1,"Enfermedades crónicas o degenerativas"
"ENCUESTA CONTINUA DE SALUD EN MEXICO","Instituto Nacional de Salud Pública","Gustavo Adolfo Olaiz Fernández",1,"Neoplasias malignas"
"ANALISIS DEL ESTADO NUTRICIONAL DE LOS NIÑOS EN MEXICO, BASADO EN PATRONES TERRITORIALES, PARA EL DESARROLLO DE LAS POLITICAS DE SALUD: INDICE PREDICTIVO DE NUTRICION ","Centro Nacional para la Salud de la Infancia y la Adolescencia","Jose Ignacio Santos Preciado",3,"Trastornos de la Nutrición"
"DESARROLLO DE TECNOLOGIAS PARA LA FABRICACION DE FARMOQUIMICOS GENERICOS","Uquifa México","Adrián Ricardo López Montelongo",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EFECTOS REPRODUCTIVOS ASOCIADOS CON LA EXPOSICION A PLAGUICIDAS EN  TRABAJADORES DE LA INDUSTRIA DE FLORES EN MEXICO","Instituto Nacional de Salud Pública","Julia Blanco Muñoz",1,"Grupos Vulnerables"
"IMPACTO ECONÓMICO EN EL SECTOR SALUD DE LAS ENFERMEDADES ASOCIADAS AL CONSUMO DE TABACO","Instituto Nacional de Salud Pública","Raydel Valdés Salgado",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"PRODUCCION POR INGENIERIA GENETICA DE LOS MIEMBROS DE LA FAMILIA DE LA HORMONA DEL CRECIMIENTO HUMANO.","Universidad Autónoma de Nuevo León","Hugo Alberto Barrera Saldaña",3,"Salud Reproductiva y Perinatal"
"RESPUESTA INMUNOLOGICA PERITONEAL Y ANTIOXIDANTES  EN MUJERES ESTERILES CON ENDOMETRIOSIS","Instituto Nacional de Perinatología","Cesar Angel Hernández Guerrero",1,"Enfermedades crónicas o degenerativas"
"DESARROLLO Y EVALUACION DE MATERIALES NOVEDOSOS PARA LA ADMINISTRACION DE FARMACOS ANTINEOPLASICOS: MICELAS POLIMERICAS DE TAMAÑO CONTROLADO.","Universidad Autónoma de Baja California","Jose Manuel Cornejo Bravo",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION DE MARCADORES DE ESTRES OXIDATIVO EN NIÑOS ASMATICOS POR EXPOSICION A DIESEL EN LA CIUDAD DE MEXICO","Instituto Nacional de Salud Pública","Albino Barraza Villarreal",1,"Enfermedades Infecciosas y Parasitarias"
"LOS ANTECEDENTES HEREDOFAMILIARES Y SU POSIBLE  RELACION CON LA SUSCEPTIBILIDAD ENDOTELIAL PARA DESARROLLAR ATEROSCLEROSIS","Instituto Nacional de Cardiología ""Ignacio Chávez""","Felipe Alonso Masso Rojas",1,"Enfermedades crónicas o degenerativas"
"DESARROLLO Y VALIDACION DE UNA ESTRATEGIA COMUNITARIA PARA LA REDUCCION DEL RIESGO DE DENGUE Y DIARREA EN ECOSISTEMAS URBANOS DE LA FRONTERA SUR MEXICO-GUATEMALA","Centro de Investigación en Paludismo","Juan Ignacio Arredondo Jiménez",2,"Enfermedades crónicas o degenerativas"
"DESARROLLO DE ANTINEOPLASICOS SINTETICOS ""DE NOVO"" Y SU EVALUACION PRECLINICA ","Universidad Nacional Autónoma de México","Lena Ruíz Azuára",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"HISTORIA NATURAL DEL VIRUS DEL PAPILOMA HUMANO EN HOMBRES: UN ESTUDIO MULTICENTRICO NACIONAL.","Instituto Nacional de Salud Pública","Eduardo Cesar Lazcano Ponce",3,"Enfermedades Infecciosas y Parasitarias"
"POLITICAS PUBLICAS SECTORIALES E INTERSECTORIALES PARA MEJORAR LOS NIVELES DE SALUD.","Persona Física","Carlos Cruz Rivero",,"Neoplasias malignas"
"MODELO DE EVALUACION ESPACIAL DE COBERTURA, ACCESIBILIDAD Y CALIDAD DEL SISTEMA HOSPITALARIO DE LA SSA Y DESARROLLO DE ESTANDARES DE DESEMPEÑO","Instituto Nacional de Salud Pública","Juan Eugenio Hernández Ávila",2,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"COHORTE DE TRABAJADORES DEL IMSS MORELOS","Instituto Mexicano del Seguro Social","Jorge Salmerón Castro",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"DETERMINANTES ECOLOGICOS, SOCIODEMOGRAFICOS Y CULTURALES DE LA TRANSMISION Y LA PARTICIPACION COMUNITARIA EN EL CONTROL DEL PALUDISMO EN LOS FOCOS HIPERENDEMICOS DE LA COSTA DEL OCEANO PACIFICO","Instituto Nacional de Salud Pública","Mario Henry Rodríguez López",3,"Entorno Social y Transición Demográfica"
"ENFOQUE ECOSISTEMICO PARA EL DESARROLLO DE METODOS DE CONTROL Y PREVENCION DE DENGUE ; ESTUDIO DE CASO EN YUCATAN, MEXICO","Instituto Nacional de Salud Pública","Enrique Cifuentes García",2,"Neoplasias malignas"
"ASEGURAMIENTO EN SALUD Y PROTECCION SOCIAL.","Persona Física","Carlos Noriega Curtis",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION ANTROPOMETRICA DEL PIE DE UNA POBLACION DE DIABETICOS PARA EL DISEÑO DE UN CALZADO ADECUADO PARA ESTE GRUPO DE RIESGO","Centro de Investigación y Asesoría Tecnológica en Cuero y Calzado","Klaus Kösters Rüther",1,"Enfermedades Infecciosas y Parasitarias"
"CARACTERISTICAS SOCIOECONOMICAS Y GEOGRAFICAS ASOCIADAS A LA TRANSMISION DE HEPATITIS B EN LAS REGIONES DE MEXICO DE MAYOR PREVALENCIA","Instituto Nacional de Salud Pública","Luis Alfredo Juárez Figueroa",1,"Accidentes y Violencia"
"EVALUACION DE LA INGESTION DE FITOESTROGENOS POR MUJERES QUE CONSUMEN LA DIETA RURAL Y URBANA MEXICANA, MEDIANTE LA MEDICION DE LA CONCENTRACION DE FITOESTROGENOS EN PLASMA Y SU EXCRECION EN ORINA, Y SU ASOCIACION CON LOS NIVELES DE COLESTEROL","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Elsa Concepción Muñoz Lozano",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESTUDIO INTERINSTITUCIONAL E INTERDISCIPLINARIO DE: I. PREVALENCIA DE DEMENCIA EN EL ESTADO DE JALISCO. II. MARCADORES PERIFERICOS BIOQUIMICOS Y MOLECULARES E IMAGENOLOGIA EN ENFERMEDAD ALZHEIMER. III. CENTRO DE ACOPIO DE CEREBROS HUMANOS","Instituto Mexicano del Seguro Social","Genaro Gabriel Ortíz",3,"Enfermedades crónicas o degenerativas"
"DIAGNOSTICO SOBRE EL SISTEMA DE SALUD Y EL ESTADO DE SALUD EN MEXICO CON MIRAS AL CUMPLIMIENTO DE LOS OBJETIVOS DE DESARROLLO DE LA ORGANIZACION DE LAS NACIONES UNIDAS PARA EL MILENIO","Persona Física","Stefano Michele Bertozzi Kenefick",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ASPECTOS GENOMICOS DE LA CATARATA CONGENITA Y EFECTOS DE LA EXPRESION GENICA IN SITU EN LA FORMACION DE LA CARATARA SENIL","Hospital General de México","Sergio Alberto Cuevas Covarrubias",2,"Grupos Vulnerables"
"SISTEMA DE ASESORIA REMOTA EN CASO DE ENFERMEDADES CARDIOVASCULARES","Instituto Politécnico Nacional","Alfonso Gutiérrez Aldana",,"Educación para la Salud"
"ASOCIACION ENTRE MULTIPLES FARMACOS Y ENFERMEDAD RESIDUAL MINIMA EN PACIENTES CON LEUCEMIA AGUDA","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Erick Crespo Solís",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION DE LA ADICION DE HIERRO QUELADO Y NO QUELADO A LOS ALIMENTOS INFANTILES","Instituto Nacional de Perinatología","Esther Margarita Casanueva Y López",,"Enfermedades Infecciosas y Parasitarias"
"MICROCHIPS DE DNA PARA INVESTIGAR FACTORES VIRALES Y CELULARES ASOCIADOS A LA SOBREVIDA DE LAS PACIENTES CON CANCER CERVICO-UTERINO INFECTADAS CON EL VIRUS DEL PAPILOMA HUMANO 16 ASIATICO-AMERICANO","Hospital General de México","Jaime Berumen Campos",2,"Padecimientos Congénitos o de origen genético"
"DESARROLLO E INNOVACION DE BIOPROTESIS CARDIACAS","Instituto Nacional de Cardiología ""Ignacio Chávez""","Alejandro Juárez Hernández",,"Trastornos Psiquiátricos o Neurológicos"
"APLICACIONES DE CIRUGIA ASISTIDA POR COMPUTADORA Y ROBOTICA MEDICA","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Jose Luis Mosso Vázquez",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"PROGRAMA DE DETECCION OPORTUNA DE CANCER CERVICAL BASADO EN LA PRUEBA DE VIRUS DE PAPILOMA HUMANO. EL ENSAYO COMUNITARIO DE MORELOS","Instituto Nacional de Salud Pública","Mauricio Hernández Ávila",3,"Enfermedades crónicas o degenerativas"
"INVESTIGACION PARA LA ACCION: DEVELANDO EL CONSUMO EXCESIVO DE ALCOHOL COMO GENERADOR DE PROBLEMAS EN COMUNIDADES INDIGENAS ÑAHÑU","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Consuelo García Andrade",,"Neoplasias malignas"
"DESARROLLO Y ESCALAMIENTO A NIVEL PILOTO DE UNA VACUNA CONJUGADA DE HAEMOPHILUS INFLUENZAE B (HIB)","Laboratorios de Biológicos y Reactivos de México","J Francisco Reta Mares",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"SEGUIMIENTO DE UNA COHORTE DE PACIENTES PREMENOPAUSICAS CON LUPUS ERITEMATOSO GENERALIZADO PARA MEDICION DE INCIDENCIA DE ENFERMEDAD CARDIOVASCULAR Y CAMBIOS EN LOS FACTORES DE RIESGO ASOCIADOS","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Antonio Rafael Villa Romero",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EXPOSICION OCUPACIONAL COMO FACTOR ASOCIADO A LA PRESENCIA DE CANCER PULMONAR, TUMOR MALIGNO DE SISTEMA NERVIOSO CENTRAL Y LEUCEMIA AGUDA EN TRABAJADORES ASEGURADOS AL INSTITUTO MEXICANO DEL SEGURO SOCIAL","Instituto Mexicano del Seguro Social","Victor Hugo Borja Aburto",3,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LA EVOLUCION CLINICA Y DE LA PRESCRIPCION FARMACOLOGICA QUE RECIBEN PACIENTES DIABETICOS TIPO 2 CON HIPERTENSION ARTERIAL E HIPERCOLESTEROLEMIA EN PRIMER NIVEL DE ATENCION, A TRAVES DE UNA RED DE BASES DE DATOS.","Instituto Mexicano del Seguro Social","Nelly Cisneros González",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ESTUDIO DEL POTENCIAL DE UNA VACUNA GENICA PARA PREVENIR LA INFECCION POR VIRUS DEL PAPILOMA HUMANO GENITAL","Universidad Nacional Autónoma de México","Leticia Rocha Zavaleta",1,"Enfermedades Infecciosas y Parasitarias"
"ANALISIS DE LOS MECANISMOS MOLECULARES DE PATOGENICIDAD PRESENTES EN LA COINFECCION CON EL VIH-1 Y EL VHC.","Universidad Autónoma de Nuevo León","Ana Maria Guadalupe Rivas Estilla",2,"Enfermedades Infecciosas y Parasitarias"
"ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CANCER DE MAMA","Instituto Nacional de Cancerología","Norma Alicia Hernández Rodríguez",,"Neoplasias malignas"
"ANALISIS DEL COMPORTAMIENTO ESPECTRAL DEL EPITELIO ESCAMOSO NORMAL DEL CERVIX Y EL EPITELIO ACETOBLANCO POR INFECCION DE VIRUS DEL PAPILOMA MEDIANTE EL PROCESAMIENTO DIGITAL DE IMAGENES COLPOSCOPICAS USANDO UN MODELO DINAMICO LINEAL.","Universidad Veracruzana","Héctor Gabriel Acosta Mesa",1,"Neoplasias malignas"
"METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CANCER PULMONAR COMO METODO PARA EL DIAGNOSTICO TEMPRANO DE METASTASIS.","Instituto Nacional de Enfermedades Respiratorias","Georgina González Ávila",2,"Neoplasias malignas"
"USO DE SONDAS MOLECULARES PARA IDENTIFICAR GENES DE RESISTENCIA A ANTIBIOTICOS ß-LACTAMICOS EN AISLAMIENTOS CLINICOS DE ENTEROBACTERIAS","Instituto Nacional de Salud Pública","Jesus Silva Sánchez",2,"Enfermedades del rezago y emergentes"
"DESARROLLO DE FITOFARMACOS PROTOTIPO A PARTIR DE HIBISCUS SABDARIFFA Y MIMOSA TENUIFLORA","Instituto Mexicano del Seguro Social","Xavier Lozoya Legorreta",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EFECTO COADYUVANTE DEL EXTRACTO DIALIZABLE DE LEUCOCITOS (EDL) EN EL MANEJO FARMACOLOGICO Y TERAPEUTICO DE LA DEPRESION MAYOR.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Lenin Pavón Romero",1,"Trastornos Psiquiátricos o Neurológicos"
"IDENTIFICACION DEL VIRUS DE VARICELA ZOSTER EN CELULAS MONONUCLEARES DE PACIENTES CON ESCLEROSIS MULTIPLE","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Julio Everardo Sotélo Morales",3,"Trastornos Psiquiátricos o Neurológicos"
"LABORATORIO DE SALUD EN EL TRABAJO: AREA DE ERGONOMIA OCUPACIONAL.","Instituto Mexicano del Seguro Social","Irene Mujíca Morales",,"Salud Ocupacional"
"EXPOSICION DE FTALATOS POR PROCEDIMIENTOS MEDICOS EN RECIEN NACIDOS VARONES Y EVALUACION DE SUS EFECTOS EN LA FUNCION GONADAL","Universidad Autónoma del Estado de México","Lilia Patricia Bustamante Montes",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"ELABORACION DE MONOGRAFIAS CIENTIFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACION MUNDIAL DE LA SALUD","Universidad Nacional Autónoma de México","Rachel Mata Essayag",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"MECANISMOS DE ACCION DE LA ANTICONCEPCION DE EMERGENCIA: EFECTOS SOBRE LA EXPRESION ENDOMETRIAL DE GENES Y PROTEINAS REGULADAS POR PROGESTERONA.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Marta Margarita Durand Carbajal",1,"Salud Reproductiva y Perinatal"
"SALUD MENTAL DE MAMAS Y BEBES: PREVENCION DE LA DEPRESION POSPARTO","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","María Asunción Lara Cantú",3,"Trastornos Psiquiátricos o Neurológicos"
"MARCADORES BIOMOLECULARES APLICABLES AL DIAGNOSTICO CITOLOGICO DEL CANCER CERVICOUTERINO.","Instituto Mexicano del Seguro Social","Luis Benítez Bribiesca",3,"Neoplasias malignas"
"PREPARACION POR EXTRUSION Y CARACTERIZACION DE PELICULAS POLIMERICAS ELECTROCONDUCTORAS CON USO POTENCIAL EN BIOSENSORES PARA ACIDO URICO Y UREA","Universidad de Sonora","María Mónica Castillo Ortega",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"PARTICIPACION DE LAS LESIONES VASCULARES Y LAS ALTERACIONES HEMODINAMICAS GLOMERULARES EN EL DAÑO TUBULO-INTERSTICIAL CRONICO POR PROTEINURIA MASIVA. ESTUDIO DE ESTRATEGIAS PARA RETARDAR LA PROGRESION A LA INSUFICIENCIA RENAL TERMINAL?.","Instituto Nacional de Cardiología ""Ignacio Chávez""","Edilia Tapia Rodríguez",2,"Enfermedades crónicas o degenerativas"
"DIAGNOSTICO ETIOLOGICO DE LA DEGENERACION ESPINOCEREBELOSA EN POBLACION MEXICANA","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Astrid Olivia Rasmussen Almaráz",2,"Grupos Vulnerables"
"POLIMORFISMOS GÉNICOS ASOCIADOS A LA PÉRDIDA DE LA DENSIDAD MINERAL ÓSEA DE COLUMNA VERTEBRAL EN MUJERES MEXICANAS","Instituto Nacional de Rehabilitación","Margarita Valdés Flores",1,"Enfermedades crónicas o degenerativas"
"DISEÑO DE MEDIOS DE CULTIVO PARA LA PROPAGACION DE LINEAS CELULARES DE MAMIFEROS PARA EVALUAR LA ACTIVIDAD CITOTOXICA DE EXTRACTOS DE PLANTAS","Universidad Autónoma de Nuevo León","Catalina Rivas Morales",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"CARACTERISTICAS Y NECESIDADES DEL CUIDADOR PRIMARIO EN ENFERMEDADES NEURODEGENERATIVAS. DISEÑO Y EVALUACION DE UN PROGRAMA DE INTERVENCION","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Francisco Paz Rodríguez",1,"Entorno Social y Transición Demográfica"
"MODELO DE INTERVENCION MULTIDISCIPLINAR PARA DETENER EL AVANCE Y REVERTIR EL PROCESO DE INTOLERANCIA A LA GLUCOSA EN PERSONAS DE ALTO RIESGO","Instituto Mexicano del Seguro Social","Javier Eduardo García de Alba García",2,"Trastornos ligados al estilo de vida"
