TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
DESARROLLO Y VALIDACIÓN DE UNA PRUEBA DE DIAGNÓSTICO DE LA TUBERCULOSIS PULMONAR EMPLEANDO LOS ANTÍGENOS ESAT-6 Y CFP-10 DE MYCOBACTERIUM TUBERCULOSIS UNIDOS A MICROESFERAS,Universidad Autónoma De Nuevo León,Adrian Geovanni Rosas Taraco,1,Desarrollo y Evaluación de Tecnologías para la Salud
Marcadores inmunológicos asociados con la gravedad de la infección por el virus de la influenza A H1N1,Universidad Autónoma De Nuevo León,Adrian Geovanni Rosas Taraco,1,Influenza
EVALUACIÓN DE LA BIODISPONIBILIDAD DE UN CONCENTRADO DE HIERRO HEMO,"Instituto Politécnico Nacional, I.P.N.",Adrián Guillermo Quintero Gutiérrez,1,Trastornos de la Nutrición
Desarrollo e Investigacion de Paclitaxel Oral en Pacientes con Cancer,Ivax Pharmaceuticals México,Adrián Hepner Steingart,,Neoplasias malignas
DESARROLLO DE TECNOLOGÍAS PARA LA FABRICACIÓN DE FARMOQUÍMICOS GENÉRICOS,"Uquifa México, S.A. De C.V.",Adrián Ricardo López Montelongo,,Desarrollo y Evaluación de Tecnologías para la Salud
VARIABILIDAD DE LA PRÁCTICA MÉDICA Y UNA PROPUESTA DE ESTRATEGIA DE MEJORA EN LA CALIDAD DE ATENCIÓN POR MEDIO DE GUÍAS DE PRÁCTICA CLÍNICA EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL,Instituto Mexicano del Seguro Social,Adriana Abigail Valenzuela Flores,,Enfermedades crónicas o degenerativas
EFECTO DE LA PROTEÍNA WNT7a SOBRE LA PROLIFERACIÓN DE CÉLULAS DERIVADAS DE PACIENTES CON LEUCEMIA LINFOBLÁSTICA AGUDA,Instituto Mexicano del Seguro Social,ADRIANA DEL CARMEN AGUILAR LEMARROY,1,Neoplasias malignas
Desarrollo de un método rápido de drogosusceptibilidad para M. tuberculosis mediante el uso de materiales cerámicos,Universidad De Sonora,Adriana Garibay Escobar,1,Enfermedades infecciosas y parasitarias
SISTEMA INFORMÁTICO NEONATAL: MEJORA EN LA CALIDAD DE ATENCIÓN BASADA EN LA EVIDENCIA.,Servicios De Salud De San Luis Potosí,Adriana Jonguitud Aguilar,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
HACIA EL CONTROL DE LA RESPUESTA INFLAMATORIA ASOCIADA A LA NEUROCISTICERCOSIS,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Agnes Odile Marie Fleury,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Diagnóstico de infección adquirida en el hospital con el marcador molecular V1-V3 del gen 16S rDNA: trascendencia y utilidad cuando el cultivo resulta negativo.,"Instituto Politécnico Nacional, I.P.N.",AGUILERA ARREOLA MA. GUADALUPE,,Enfermedades Infecciosas y Parasitarias
"Prevalencia, Caracterización y Tipificación Molecular de Beta-Lactamasas de Interés Clínico en Enterobacterias Aisladas de Pacientes Pediátricos",Instituto Nacional de Pediatría,AGUSTIN RAFAEL DE COLSA RANERO,,Enfermedades infecciosas y parasitarias
"PREVALENCIA DE DIABETES TIPO 2, ENFERMEDADES CARDIOVASCULARES Y ENFERMEDAD RENAL EN POBLACIÓN INDÍGENA Y NO INDÍGENA DE COMITÁN DE DOMÍNGUEZ, CHIAPAS. IDENTIFICACIÓN DE FACTORES DE RIESGO Y COMORBILIDAD ASOCIADA.",Instituto Nacional de Salud Pública,AIDA JIMÉNEZ CORONA,1,Enfermedades crónicas o degenerativas
"evaluación y acciones de continuidad de una estrategia integral de intervención comunitaria en salud ambiental en Alpuyeca, Morelos.",Instituto Nacional de Salud Pública,ALAMO HERNÁNDEZ URINDA,,Enfermedades Infecciosas y Parasitarias
Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis,Instituto Nacional de Rehabilitación,ALBERTO GABRIEL LÓPEZ REYES,,INVESTIGACIÓN SOCIAL EN GRUPOS ESPECIALES
"evaluación de la efectividad de la terapia de marcha con control de velocidad, longitud de paso y cadencia por medio de estímulos visuales, auditivos y atencionales en la rehabilitación de la enfermedad de Parkinson",Instituto Nacional de Rehabilitación,Alberto Isaac Pérez Sanpablo,,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCA","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Alberto Javier Zamora Muciño-Arroyo,,Enfermedades crónicas o degenerativas
CAMBIOS EN LA REACTIVIDAD VASCULAR CEREBRAL EN PACIENTES MAYORES DE 65 AÑOS CON ALTERACIONES EN LA MEMORIA SEMÁNTICA COMO PREDICTOR DE DETERIORO COGNOSCITIVO VASCULAR SUBCORTICAL,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Alberto José Mimenza Alvarado,,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
BIBLIOTECA DE MEDIOS AUDIOVISUALES DE EDUCACIÓN PARA LA SALUD EN DISCAPACIDAD Y REHABILITACIÓN.,Instituto Nacional de Rehabilitación,Alberto Odor Morales,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Diagnóstico rápido de tuberculosis y farmacorresistencia en aislados de pacientes en la Peninsula de Yucatán, México.",Universidad Autónoma De Yucatán,ALBERTO VARGAS GONZÁLEZ,,Enfermedades infecciosas y parasitarias
Validación de una guía basada en signos y síntomas para la identificación y manejo de pacientes con faringoamigdalitis aguda por Streptococcus pyogenes,Instituto Mexicano del Seguro Social,Alberto Villaseñor Sierra,1,Enfermedades Infecciosas y Parasitarias
"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte",Instituto Nacional de Salud Pública,ALBINO BARRAZA VILLARREAL,1,Trastornos de la Nutrición
EVALUACIÓN DE MARCADORES DE ESTRES OXIDATIVO EN NIÑOS ASMATICOS POR EXPOSICIÓN A DIESEL EN LA CIUDAD DE MÉXICO,Instituto Nacional de Salud Pública,Albino Barraza Villarreal,1,Enfermedades Infecciosas y Parasitarias
IMPACTO DE LA SUPLEMENTACIÓN CON ÁCIDOS GRASOS OMEGA-3 SOBRE LA SALUD RESPIRATORIA Y FUNCIÓN PULMONAR INFANTIL: UN ENSAYO CLÍNICO ALEATORIZADO,Instituto Nacional de Salud Pública,Albino Barraza Villarreal,1,Enfermedades crónicas o degenerativas
"DISEÑO, DESARROLLO Y EVALUACIÓN DE UN DISPOSITIVO DE ESTIMULACIÓN MECÁNICA EXTERNA PARA LA ACELERACIÓN DE LA CONSOLIDACIÓN EN FRACTURAS ÓSEAS.",Instituto Nacional de Rehabilitación,Aldo Alessi Montero,,Desarrollo y Evaluación de Tecnologías para la Salud
Impacto de un programa de entrenamiento físico en calidad de vida y seguridad en pacientes con cirrosis e hipertensión portal,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Aldo Torre Delgadillo,2,Enfermedades crónicas o degenerativas
Desarrollo de calzado con características biomecánicas para mejorar la movilidad en pacientes usuarios de férulas de tobillo-pie,"Centro de Innovación Aplicada en Tecnologías Competitivas (CIATEC, A.C.)",Alejandra Alicia Silva Moreno,1,Desarrollo y Evaluación de Tecnologías para la Salud
ALTERACIONES MOLECULARES HEPÁTICAS Y SISTEMICAS CAUSADAS POR LAS LESIONES DE VIAS BILIARES EN PACIENTES SOMETIDOS PREVIAMENTE A COLECISTECTOMIA,Instituto Mexicano del Seguro Social,Alejandra Guillermina Miranda Díaz,1,Enfermedades crónicas o degenerativas
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Alejandra Meaney Martínez,Candidato,Enfermedades crónicas o degenerativas
CONSECUENCIAS EN LA FUNCIÓN PULMONAR Y CALIDAD DE VIDA EN PACIENTES QUE TUVIERON UNA NEUMONÍA GRAVE POR INFLUENZA A (H1N1). UN ESTUDIO LONGITUDINAL,Instituto Nacional de Enfermedades Respiratorias,Alejandra Ramírez Venegas,1,Influenza
DIAGNÓSTICO Y CARACTERIZACIÓN MOLECULAR Y CLÍNICA DE INFECCIONES HOSPITALARIAS OCASIONADAS POR EL HONGO PATÓGENO OPORTUNISTA CANDIDA GLABRATA,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",Alejandro De las Peñas Nava,2,Enfermedades Infecciosas y Parasitarias
DISEÑO Y FABRICACIÓN DE MICROSENSORES DE FLUJO PARA CUIDADOS NEONATALES,"Instituto Nacional de Astrofísica, Óptica y Electrónica",Alejandro Díaz Sánchez,1,Desarrollo y Evaluación de Tecnologías para la Salud
Prevalencia de infección por VIH y otras Infecciones de Transmisión Sexual en Reclusorios del Estado de Guanajuato,Universidad De Guanajuato,Alejandro Ernesto Macías Hernández,2,Enfermedades Infecciosas y Parasitarias
DESARROLLO DE MÉTODOS PARA LA SIMPLIFICACIÓN DEL DIAGNÓSTICO DE LABORATORIO DE DENGUE.,"Centro Nacional de Programas Preventivos y Control de Enfermedades, (Cenaprece)",Alejandro Escobar Gutiérrez,2,Enfermedades Infecciosas y Parasitarias
DESARROLLO DE UNA TÉCNICA DE CITOMETRÍA DE FLUJO PARA LA DETERMINACIÓN INTRACÉLULAR DE LA PROTEÍNA NS1 (DV-NS1-CF) PARA EL DIAGNÓSTICO TEMPRANO DE CASOS DE DENGUE,"Centro Nacional de Programas Preventivos y Control de Enfermedades, (Cenaprece)",Alejandro Escobar Gutiérrez,2,Desarrollo y Evaluación de Tecnologías para la Salud
"Análisis de la genética de poblaciones virales, marcadores moleculares del genoma viral y factores inmunológicos del hospedero relacionados con virulencia y la presentación clínica de la enfermedad en casos graves atípicos de dengue","Centro Nacional de Programas Preventivos y Control de Enfermedades, (Cenaprece)",Alejandro Escobar Gutiérrez,2,Enfermedades Infecciosas y Parasitarias
TERAPIA DE ANGIOGENESIS EN PACIENTES CON ISQUEMIA CRITICA EN EXTREMIDADES INFERIORES CON AUTOTRANSPLANTE DE CÉLULAS MONONUCELARES DE SANGRE PERIFERICA.,Instituto Mexicano del Seguro Social,Alejandro González Ojeda,1,Grupos Vulnerables
DESARROLLO E INNOVACIÓN DE BIOPRÓTESIS CARDIACAS,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Alejandro Juárez Hernández,,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
CORTE DE PRECISION DE TEJIDO BIOLÓGICO POR MEDIO DE RAYO LASER PARA BIOPRÓTESIS CARDIACAS,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Alejandro Juárez Hernández,,Desarrollo y Evaluación de Tecnologías para la Salud
ENCUESTA SOBRE LAS POSIBLES ACTITUDES Y REACCIONES DE LOS DERECHOHABIENTES DEL ISSSTE ANTE LAS PRUEBAS GENÓMICAS DE RIESGO DE CÁNCER,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",ALESSANDRA CARNEVALE CANTONI,3,Ética y Salud
CARACTERIZACIÓN DE GENES MODIFICADORES RELACIONADOS CON LA EXPRESIVIDAD VARIABLE DE LA FIBROSIS QUÍSTICA,Instituto Nacional de Pediatría,ALESSANDRA CARNEVALE CANTONI,3,Padecimientos Congénitos o de origen genético
"Desarrollo preclínico de una combinacion farmacológica bloqueadora de la glucoólisis, glutaminólisis y sntesis de acidos grasos como estrategia antitumoral.",Instituto Nacional de Cancerología,ALFONSO DUEÑAS GONZÁLEZ,3,Neoplasias Malignas
"Desarrollo preclínico del ribavirin como inhibidor multiblanco (multitargeted) de EZH2, eIF4E e IMPDH2 en neoplasias malignas.",Instituto Nacional de Cancerología,ALFONSO DUEÑAS GONZÁLEZ,3,Neoplasias malignas
SISTEMA DE ASESORÍA REMOTA EN CASO DE ENFERMEDADES CARDIOVASCULARES,"Instituto Politécnico Nacional, I.P.N.",Alfonso Gutiérrez Aldana,,Educación para la Salud
CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS,"Universidad Nacional Autónoma De México, UNAM",Alfonso León Del Río,2,Neoplasias malignas
ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.,Instituto Nacional de Salud Pública,Alfredo Antonio Ulloa Y Aguirre,3,Salud Reproductiva y Perinatal
EL PEATON ADULTO LESIONADO EN EVENTOS DE TRAFICO DE VEHICULOS DE MOTOR DURANTE EL TRAYECTO CASA-TRABAJO-CASA.,Universidad De Guadalajara,Alfredo de Jesus Celis De la Rosa,1,Enfermedades Infecciosas y Parasitarias
Aplicación de un microarreglo de oligonucleotidos de alta densidad para determinar la secuencia del genoma del virus AH1N1 como una herramienta de vigilancia epidemiológica molecular.,Instituto Nacional de Medicina Genómica (INMEGEN),Alfredo Hidalgo Miranda,1,Influenza
MODELOS ANTROPOMÉTRICOS PARA PREDECIR LA COMPOSICIÓN CORPORAL EVALUADA POR ABSORCIOMETRÍA DE DOBLE FOTÓN EN NIÑOS MENORES DE 3 AÑOS DE EDAD CON ENFERMEDAD HEPÁTICA CRÓNICA.,Instituto Mexicano del Seguro Social,Alfredo Larrosa Haro,1,Enfermedades crónicas o degenerativas
PREDICCIÓN DE PREECLAMPSIA Y SU SEVERIDAD MEDIANTE LA DETERMINACIÓN DE PROLACTINA URINARIA Y SU RELACIÓN CON FACTORES ANGIOGENICOS CIRCULANTES,Instituto Mexicano del Seguro Social,Alfredo Leaños Miranda,2,Salud Reproductiva y Perinatal
La satisfacción/insatisfacción de los usuarios del sistema de salud con la atención desde sus expectativas y experiencias en México,"Universidad Nacional Autónoma De México, UNAM",Alicia Hamui Sutton,2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
Carga de la enfermedad de la cardiopatía isquémica de la población derechohabiente al IMSS en el Hospital de Cardiología del CMN Siglo XXI y su relación con los costos por atención médica,"Centro Médico Nacional Siglo XXI, ""Dr. Ignacio Morones Prieto"", IMSS",Alma Gabriela Valenzuela Flores,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.",Universidad Autónoma De Baja California,ALMANZA REYES HORACIO EUSEBIO,Candidato,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
DETERMINANTES INSTITUCIONALES DE LA COBERTURA EFECTIVA DE LOS SERVICIOS DE SALUD DE PRIMER NIVEL EN MÉXICO,Instituto Nacional de Salud Pública,Alvaro Javier Idrovo Velandia,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
EL CÁNCER DE MAMA DESDE LA PERSPECTIVA DE ADOLESCENTES: EXPLORACIÓN DE IMAGEN Y SIGNIFICADOS PARA UNA PROPUESTA EDUCATIVA,Instituto Mexicano del Seguro Social,Amparo Tapia Curiel,,Neoplasias Malignas
"Diseño e Implementación de un Programa de Comunicación de Riesgos, una alternativa de intervención para mejorar la salud ambiental infantil en una zona con diversos problemas ambientales.",Universidad Autónoma De San Luis Potosí,Ana Cristina Cubillas Tejeda,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
PROGRAMA DE EDUCACIÓN PARA LA SALUD AMBIENTAL INFANTIL: IMPLEMENTACIÓN DE TALLERES DE EDUCACIÓN INFANTIL PARA SITIOS CONTAMINADOS.,Universidad Autónoma De San Luis Potosí,Ana Cristina Cubillas Tejeda,1,Educación para la Salud
COMUNICACION DE LA CIENCIA COMO UN MEDIO PARA PREVENIR ENFERMEDADES INFECCIOSAS,"Hospital General ""Dr. Manuel Gea González""",Ana Flisser Steinbruch,3,Educación para la Salud
"evaluación de la interacción entre el consumo de macronutrimentos y el perfil de la microbiota del colon distal y su asociación con obesidad infantil, en población mexicana",Instituto Nacional de Salud Pública,ANA ISABEL BURGUETE GARCÍA,1,Trastornos de la Nutrición
"POLIMORFISMOS DEL GEN IL-10 Y SU CORRELACIÓN CON EL PATRÓN DE CITOCINAS Y SINTOMATOLOGÍA CLÍNICA EN PACIENTES CON HEPATITIS C CRÓNICA ,TRATADOS CON PEG-IFN ALFA 2: UN ENFOQUE DE FÁRMACOGENÉTICA,",Instituto Nacional de Salud Pública,ANA ISABEL BURGUETE GARCÍA,1,Enfermedades crónicas o degenerativas
EDUCACIÓN EN SALUD EN EL ÁREA ESCOLAR (NIVEL MEDIO) Y SU RELACIÓN CON LA EFECTIVIDAD DEL PROGRAMA DE DETECCIÓN OPORTUNA DE CÁNCER CÉRVICO-UTERINO Y MAMARIO EN POBLACIÓN DE NUEVO LEÓN,Instituto Mexicano del Seguro Social,ANA LAURA CALDERON GARCIDUEÑAS,1,Neoplasias Malignas
Eficacia de Sacbe para disminuir índice de masa corporal y mejorar parámetros metabólicos de niños/adolescentes con sobrepeso/obesidad y otros factores de riesgo para desarrollar diabetes tipo 2,Instituto Nacional de Perinatología,Ana Lilia Rodríguez Ventura,1,Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones.
NEUROMODULACIÓN EN EPILEPSIA REFRACTARIA DE ÁREAS ELOCUENTES,"Hospital General ""Dr. Manuel Gea González""",Ana Luisa Velasco Monroy,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
COSTO-EFECTIVIDAD DE UNA ESTRATEGIA DIAGNÓSTICA DE HEPATITIS CRÓNICA C EN DONADORES DE SANGRE ASINTOMÁTICOS.,Instituto Mexicano del Seguro Social,Ana Maria Bertha Contreras Navarro,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
DESARROLLO DE TECNOLOGÍAS PARA LA PREVENCIÓN Y DIAGNÓSTICO DE LA ENFERMEDAD CELIACA EN LOS NIÑOS,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",ANA MARIA CALDERON DE LA BARCA COTA,2,Desarrollo y Evaluación de Tecnologías para la Salud
EVALUACIÓN DEL EFECTO ANTIVIRAL DE LOS ANTIINFLAMATORIOS NO ESTEROIDES EN PACIENTES CON HEPATITIS C,Universidad Autónoma De Nuevo León,Ana Maria Guadalupe Rivas Estilla,2,Enfermedades Infecciosas y Parasitarias
NUEVAS ALTERNATIVAS PARA COMBATIR LA HEPATITIS C: EVALUACIÓN DEL EFECTO ANTIVIRAL DE ANTIINFLAMATORIOS NO ESTEROIDEOS (AINES) SOBRE EL PERFIL DE EXPRESIÓN GÉNICA DEL VHC,Universidad Autónoma De Nuevo León,Ana Maria Guadalupe Rivas Estilla,2,Enfermedades crónicas o degenerativas
ANÁLISIS DE LOS MECANISMOS MOLECULARES DE PATOGENICIDAD PRESENTES EN LA COINFECCIÓN CON EL VIH-1 Y EL VHC.,Universidad Autónoma De Nuevo León,Ana Maria Guadalupe Rivas Estilla,2,Enfermedades Infecciosas y Parasitarias
PERSPECTIVAS DE MEJORA DE LA EFICIENCIA TECNICA DE LA ATENCIÓN PRIMARIA AL DIABÉTICO: EL CASO DE DOS ORGANIZACIONES DE SEGURIDAD SOCIAL EN UN PAIS DE ECONOMIA EMERGENTE,Instituto Mexicano del Seguro Social,Ana María Salinas Martínez,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
INFLUENCIA DE CYP2D6 EN LA GENOTOXICIDAD INDUCIDA POR LAS ANFETAMINAS,"Universidad Nacional Autónoma De México, UNAM",Ana María Salinas Martínez,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Caracterización de la actividad de péptidos de amaranto sobre la diferenciación adipocítica y la actividad inhibitoria de la DPPIV,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",Ana Paulina Barba De la Rosa,2,Desarrollo de nuevos tratamientos de la diabetes y obesidad y sus complicaciones.
"Interaccion Genotipo-Fenotipo en las Hemofilias A y B ""Centro para el diagnóstico y tratamiento de la hemofilia en población mexicana""",Instituto Mexicano del Seguro Social,Ana Rebeca Jaloma Cruz,1,Desarrollo y Evaluación de Tecnologías para la Salud
EPIDEMIOLOGÍA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES,Universidad Autónoma De Tamaulipas,Anabel Bocanegra Alonso,1,Enfermedades Infecciosas y Parasitarias
INTERVENCIÓN PARA LA MODIFICACIÓN DEL PATRON DE CONSUMO DE BEBIDAS EN NIÑOS EN ESCUELAS DE LA CIUDAD DE MÉXICO,Instituto Nacional de Salud Pública,Anabelle Yudith Bonvecchio Arenas,1,Enfermedades crónicas o degenerativas
Análisis de micrornas involucrados en el desarrollo del sistema nervioso central en el suero de mujeres gestantes y no gestantes utilizando una plataforma de microarreglos de expresión .,Instituto Nacional de Perinatología,ANAYANSI MOLINA HERNÁNDEZ,1,Salud Reproductiva y Perinatal
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,Ángel Cirilo Lendechy Grajales,,Neoplasias Malignas
Elaboración y evaluación de una vacuna de ADN universal contra la influenza A,"Instituto Politécnico Nacional, I.P.N.",Ángel Eduardo Absalón Constantino,Candidato,Enfermedades infecciosas y parasitarias
EVALUACIÓN DE LA ACTIVIDAD LEISHMANICIDA DE COMPUESTOS QUÍMICOS DE ORIGEN NATURAL CON POTENCIAL TERAPÉUTICO EN EL TRATAMIENTO DE LA LEISHMANIASIS VISCERAL,Universidad Autónoma De Campeche,Angelica Patricia Isaac Márquez,1,Enfermedades Infecciosas y Parasitarias
DISEÑO DEL TRATAMIENTO DE DIABETES MEDIANTE LA REGULACIÓN ENZIMÁTICA DE LA CONCENTRACIÓN DE GLUCOSA A NIVEL DE TRACTO DIGESTIVO,Universidad Autónoma De Coahuila,Anna Dmitrievna Ilina Varfolomeeva,,Enfermedades crónicas o degenerativas
DISEÑO Y APLICACIÓN DE NUEVOS TRATAMIENTOS DE LESIONES MICROVASCULARES DE TEJIDO CUTÁNEO DE LOS PACIENTES CON DIABETIS MELLITUS PARA PREVENCIÓN DE DISCAPACIDADES POR AMPUTACIÓN,Universidad Autónoma De Coahuila,Anna Dmitrievna Ilina Varfolomeeva,,Grupos Vulnerables
PROPAGACIÓN DE CÉLULAS MADRE HEMATOPOYÉTICAS OBTENIDAS DE SANGRE DE CORDON UMBILICAL,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",Antonio De León Rodríguez,3,Desarrollo y Evaluación de Tecnologías para la Salud
Análisis del perfil de metilación de micrornas en suero como biomarcadores de osteoartritis,Instituto Nacional de Rehabilitación,ANTONIO MIRANDA DUARTE,1,Enfermedades crónicas o degenerativas
Estudio de intervención para reducción de riesgo cardiovascular en pacientes con lupus eritematoso generalizado,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ANTONIO RAFAEL VILLA ROMERO,3,Enfermedades crónicas o degenerativas
SEGUIMIENTO DE UNA COHORTE DE PACIENTES PREMENOPAUSICAS CON LUPUS ERITEMATOSO GENERALIZADO PARA MEDICION DE INCIDENCIA DE ENFERMEDAD CARDIOVASCULAR Y CAMBIOS EN LOS FACTORES DE RIESGO ASOCIADOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ANTONIO RAFAEL VILLA ROMERO,3,Desarrollo y Evaluación de Tecnologías para la Salud
