Campo1,TITULO DEL PROYECTO
2005,"ACEPTABILIDAD Y CONSUMO DE TRES SUPLEMENTOS NUTRITIVOS PARA NIÑOS MENORES DE 2 AÑOS, BENEFICIARIOS DE OPORTUNIDADES"
2003,ACTIVIDAD OCUPACIONAL DEL PADRE Y RIESGO DE LEUCEMIA EN NIÑOS
2007,ADIPOCINAS Y MARCADORES DE RIESGO CARDIOVASCULAR EN PACIENTES DIABÉTICOS CON DESCONTROL AGUDO
2012,AISLAMIENTO Y EXPANSIÓN DE CÉLULAS T REGULADORAS ALOESPECÍFICAS EN PACIENTES RECEPTORES DE TRASPLANTE RENAL TRATADOS CON BELATACEPT O CICLOSPORINA
2009,AISLAMIENTO Y SEROTIPIFICACIÓN DE VIRUS DEL DENGUE EN MOSQUITOS DEL GÉNERO AEDES PARA LA VIGILANCIA EPIDEMIOLÓGICA DE LA ENFERMEDAD
2004,Aislamiento Sintesis y Evaluacion Antimicrobiana de Péptidos de Cadena Corta
2002,ALIANZA PARA EL ESTUDIO Y CONTROL DEL CÁNCER CERVICOUTERINO EN MÉXICO
2008,ALTERACIONES DE LA HOMEOSTASIS DEL CLORO Y GABA EN NEURONAS CORTICALES DISPLÁSICAS COMO ORIGEN DE LA HIPEREXCITABILIDAD EN PACIENTES PEDIÁTRICOS CON EPILEPSIA REFRACTARIA A MEDICAMENTOS
2012,Alteraciones en la acumulación nuclear de la ARN polimerasa II dependiente de las proteínas Gpn en el cáncer de mama.
2005,ALTERACIONES MOLECULARES HEPÁTICAS Y SISTEMICAS CAUSADAS POR LAS LESIONES DE VIAS BILIARES EN PACIENTES SOMETIDOS PREVIAMENTE A COLECISTECTOMIA
2009,"Ambiente Seguro, Intervenciones para Prevención de Atropellamientos en Cuernavaca"
2010,Ambientes virtuales como auxiliares en el tratamiento de la obesidad (AVATOB)
2007,ANÁLISIS COSTO EFECTIVIDAD DE LOS STENTS LIBERADORES DE FÁRMACO EN PACIENTES MUNDO REAL
2003,ANÁLISIS COSTO-EFECTIVIDAD DE LA VACUNA CONTRA EL VIRUS DEL PAPILOMA HUMANO Y SU IMPACTO ECONÓMICO EN LA PREVENCIÓN Y TRATAMIENTO DEL CÁNCER CÉRVICO-UTERINO EN MÉXICO
2008,ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FÁRMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO
2010,ANÁLISIS DE COSTO-EFECTIVIDAD DE UN MODELO DE INTERVENCIÓN MÚLTIPLE PARA EL DIAGNÓSTICO Y TRATAMIENTO DE LA NEFROPATÍA TEMPRANA EN PACIENTES CON DIABETES MELLITUS TIPO 2
2005,ANÁLISIS DE COSTOS ASOCIADOS CON EL ABUSO Y DEPENDENCIA DEL ALCOHOL Y DE LA RECUPERACION DE LA INVERSIÓN ASOCIADA CON DIFERENTES INTERVENCIÓNES COSTO-EFECTIVAS PREVENTIVAS Y DE TRATAMIENTO.
2008,ANÁLISIS DE COSTOS Y CALIDAD DE VIDA EN PACIENTES FRACTURADOS CON OSTEOPOROSIS EN MÉXICO
2006,ANÁLISIS DE LA CAPACIDAD DE ONGS PARA IMPLEMENTAR ESTRATEGIAS DE PREVENCIÓN Y DE ATENCIÓN INTEGRAL DE VIH/SIDA PARA POBLACIONES MOVILES: EL CASO DE MÉXICO Y CENTROAMERICA.
2013,ANÁLISIS DE LA CONECTIVIDAD FUNCIONAL CON RESONANCIA MAGNÉTICA: UNA ALTERNATIVA PARA MEJORAR EL TRATAMIENTO DEL CEREBRO ADICTO.
2012,Aná¡lisis de la dinámica y evolución intrahospedero de las variantes virales resistentes a los fármacos de nueva generación contra el virus de la hepatitis C.
2008,"ANÁLISIS DE LA EXPRESIÓN DE BIOMARCADORES SELECCIONADOS ESPECÍFICOS DE CÁNCER DE PULMÓN, Y DESARROLLO DE UNA PRUEBA DE ELISA PROTOTIPO PARA EL DIAGNÓSTICO DE LA ENFERMEDAD"
2011,ANÁLISIS DE LA EXPRESIÓN DE CAV1 Y PTRF (CAVINA-1) EN CÉLULAS MONONUCLEARES DE SANGRE PERIFÉRICA Y TUMORES DE OSTEOSARCOMA HUMANO EN POBLACIÓN MEXICANA Y SU CORRELACIÓN COMO MARCADORES DE MALIGNIDAD
2008,ANÁLISIS DE LA EXPRESIÓN DE LAS ENZIMAS DEL CITOCROMO P450 EN RABDOMIOSARCOMA INFANTIL
2008,ANÁLISIS DE LA EXPRESIÓN DE SMAC/DIABLO EN EL CÁNCER DE MAMA.
2009,Análisis de la expresión genética y su correlación funcional en diferentes poblaciones de células mononuleares de pacientes con tuberculosis latente y activa.
2010,"Análisis de la genética de poblaciones virales, marcadores moleculares del genoma viral y factores inmunológicos del hospedero relacionados con virulencia y la presentación clínica de la enfermedad en casos graves atípicos de dengue"
2007,ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.
2003,ANÁLISIS DE LA MARCHA Y BALANCE PARA PREVENIR FACTORES DE RIESGO EN EL PACIENTE CON OSTEOPOROSIS.
2012,ANÁLISIS DE LA PROLACTINA Y DE LAS VASOINHIBINAS CIRCULANTES COMO FACTORES PRONÓSTICOS DE LA PROGRESIÓN DE LA RETINOPATÍA DEL PREMATURO
2011,ANÁLISIS DE LAS MUTACIONES EN EL GEN LRBA (LYPOPOLISACHARIDE RESPONSIVE AND BEIGE-LIKE ANCHOR) EN INMUNODEFICIENCIA COMÚN VARIABLE (ICV)
2007,ANÁLISIS DE LOS HAPLOTIPOS DEL GEN RB-1 EN PACIENTES DEL INP.
2003,ANÁLISIS DE LOS MECANISMOS MOLECULARES DE PATOGENICIDAD PRESENTES EN LA COINFECCIÓN CON EL VIH-1 Y EL VHC.
2012,"Análisis de los niveles séricos de metaloproteinas 1, 7, 9, MMP-9/TIMP-1 y proteína C-reactiva, así como su correlación con el FEV1 en pacientes con EPOC por humo de tabaco y humo de leña."
2007,"ANÁLISIS DE LOS POLIMORFISMOS -216 G-T, -191 C-A, (CA)N IVS 1, R497K Y EXPRESIÓN DEL GEN EGFR EN PACIENTES CON CÁNCER GÁSTRICO"
2009,"Análisis de los polimorfismos de genes HLA, IFNAR1 y TLR, para el estudio de susceptibilidad al desarrollo de la influenza pandémica A (H1N1) en Nuevo León, incluyendo la identificación de patógenos bacterianos oportunistas causantes de neumonía."
2012,Análisis de los polimorfismos del gen del receptor P2RX7 en Diabetes Mellitus Tipo 2
2008,"ANÁLISIS DE LOS POLIMORFISMOS EN LOS GENES, RO, IL-10 Y FCGIIB EN SÍNDROME DE SJÖ–GREN. ASOCIACIÓN CON NIVELES SOLUBLES, RNAM, AUTOANTICUERPOS Y SEVERIDAD CLÍNICA."
2012,Análisis de micrornas involucrados en el desarrollo del sistema nervioso central en el suero de mujeres gestantes y no gestantes utilizando una plataforma de microarreglos de expresión .
2003,ANÁLISIS DE POLIMORFISMOS EN EL GEN RECEPTOR DE VITAMINA D EN PACIENTES CON OSTEOPOROSIS
2007,ANÁLISIS DE POLIMORFISMOS GENÉTICOS ASOCIADOS AL DESARROLLO DE PREECLAMPSIA EN MUJERES DE ORIGEN MESTIZO-MEXICANO Y MESTIZO-MAYA.
2008,"ANÁLISIS DE RIESGO PARA LITIASIS URINARIA ASOCIADO A LOS POLIMORFISMOS EN LOS GENES NADC1, ZNF365 Y VEGF Y A ALTERACIONES BIOQUÍMICAS EN PACIENTES CON DIABETES MELLITUS TIPO II"
2013,Análisis de variabilidad genómica y expresión del transportador ABCG2 en pacientes mexicanos con Cáncer de próstata.
2013,Análisis de variabilidad genómica y componentes ancestrales en pacientes mexicanos con Esclerosis Múltiple como estrategia para identificar genes candidatos funcionales.
2011,"ANÁLISIS DE VARIANTES ALÉLICAS DE LOS GENES eNOS, APLN, APLNR, MTHFR/CLCN6 Y CAMBIOS EPIGENÉTICOS EN LA REGION PROMOTORA DE LOS GENES MTHFR/CLCN6 ASOCIADOS AL DESARROLLO DE HIPERTENSIÓN ARTERIAL ESENCIAL"
2003,Analisis del comportamiento espectral del epitelio escamoso normal del cervix y el epitelio acetoblanco por infeccion de virus del papiloma mediante el procesamiento digital de imagenes colposcopicas usando un modelo dinamico lineal.
2002,"ANÁLISIS DEL ESTADO NUTRICIONAL DE LOS NIÑOS EN MÉXICO, BASADO EN PATRONES TERRITORIALES, PARA EL DESARROLLO DE LAS POLÍTICAS DE SALUD: INDICE PREDICTIVO DE NUTRICION"
2012,Análisis del perfil de metilación de micrornas en suero como biomarcadores de osteoartritis
2005,ANÁLISIS DEL POLIMORFISMO DE LOS GENES TNF Y MIC EN EL DESARROLLO DEL CÁNCER CÉRVICO UTERINO
2010,Análisis estructural y funcional del repertorio de linfocitos B y T en respuesta a la vacunación y a la infección natural por virus de Influenza estacional y pandémica
2010,"Análisis filogenético de poblaciones del virus Dengue (DENV) aislados del mosquito vector Aedes aegypti en tres localidades geográficamente separadas de México: Monterrey, Chetumal y Acapulco."
2010,ANÁLISIS GENÓMICO EN BIOPSIAS BRONQUIALES DE PACIENTES CON ENFERMEDAD RESPIRATORIA EXACERBADA POR ASPIRINA (EREA)
2011,Análisis Integral de riesgo para la transmisión de la enfermedad de Chagas en México.
2008,ANÁLISIS MOLECULAR DE GENES RELACIONADOS CON EL DESARROLLO DE LA ENFERMEDAD DE PARKINSON EN PACIENTES DEL NORESTE DE MÉXICO
2012,Análisis molecular de pacientes y portadoras de enfermedad granulomatosa crónica y su correlación con el pronóstico clínico
2005,ANÁLISIS MOLECULAR DEL GEN DEL RECEPTOR DE LIPOPROTEÍNAS DE BAJA DENSIDAD (LDL) EN INDIVIDUOS CON HIPERCOLESTEROLEMIA FAMILIAR
2002,ANÁLISIS MOLECULAR EN LA ENFERMEDAD DE PARKINSON
2008,ANÁLISIS MUTACIONAL DEL GEN CDH1 EN PACIENTES CON CÁNCER GÁSTRICO DIFUSO FAMILIAR EN MÉXICO.
2006,"ANÁLISIS POLITICO DE LOS CAMBIOS EN LOS ESPACIOS DE DECISION Y SUS EFECTOS SOBRE EL DESEMPEÑO DEL SISTEMA NACIONAL DE PROTECCION SOCIAL EN SALUD EN LOS ESTADOS, 2000-2006"
2009,ANÁLISIS PROTEÓMICO Y DEL PERFIL DE CITOCINAS EN LÁGRIMA DE PACIENTES INFECTADOS CON INFLUENZA AH1N1 PANDÉMICA
2009,Análisis proteómico y funcional del fluido ascítico proveniente de carcinomas ováricos y su asociación con la enfermedad peritoneal metastásica.
2013,ANTENA MICROCOAXIAL DE 2.45 GHZ PARA EL TRATAMIENTO MÍNIMAMENTE INVASIVO DE CÁNCER DE MAMA
2004,Anticuerpos Anti-HLA y anticuerpos anti-MICA en receptores de trasplante renal. Cuantificación de población celular T reguladora en la misma población de pacientes.
2013,APARATO PARA RADIOTERAPIA GUIADA POR IMÁGENES EN PRESENCIA DE UN AGENTE DE CONTRASTE
2009,APLICACIÓN DE CAMPOS ELECTROMAGNÉTICOS DE MUY BAJA FRECUENCIA EN LA CICATRIZACIÓN DE ÚLCERAS CRÓNICAS EN PACIENTES DIABÉTICOS COMO UN MÉTODO DE TRATAMIENTO PREVENTIVO Y COMPLEMENTARIO.
2008,"APLICACIÓN DE ESTRATEGIAS MOLECULARES BASADAS EN LA AMPLIFICACIÓN DE ÁCIDOS NUCLEICOS PARA LA CARACTERIZACIÓN, DETECCIÓN Y TAMIZAJE DE PATÓGENOS VIRALES TRANSMITIDOS POR SANGRE."
2010,Aplicación de la tecnica de microarreglos para identificar biomarcadores útiles para evaluar la eficacia del tratamiento con isoniazida de la tuberculosis latente .
2004,APLICACIÓN DE MÉTODOS DE LABORATORIO DE BAJO COSTO PARA LA EVALUACIÓN DEL CONTROL METABÓLICO EN PACIENTES CON DIABETES MELLITUS TIPO 2
2009,Aplicación de un microarreglo de oligonucleotidos de alta densidad para determinar la secuencia del genoma del virus AH1N1 como una herramienta de vigilancia epidemiológica molecular.
2008,APLICACIÓN DEL ADHESIVO BIOLÓGICO A BASE DE FIBRINA PARA LA PREVENCIÓN DE COMPLICACIONES QUIRÚRGICAS DEL TRANSPLANTE RENAL
2002,APLICACIONES DE CIRUGIA ASISTIDA POR COMPUTADORA Y ROBÓTICA MÉDICA
2006,APLICACIONES NANOTECNOLÓGICAS PARA LA OPTIMIZACIÓN DEL TRATAMIENTO DE LA TUBERCULOSIS
2004,APROXIMACIÓN HERMENEUTICA DE LA ÉTICA DE LA PRÁCTICA MÉDICA EN MÉXICO
2002,ASEGURAMIENTO EN SALUD Y PROTECCION SOCIAL.
2013,Asociación de anticuerpos anti receptor 1 de angiotensina II con la función del injerto y eventos de rechazo en receptores de trasplante renal.
2008,ASOCIACIÓN DE ANTICUERPOS ANTI-HLA Y ANTI-MICA CON PRESENCIA DE PROTEINURIA Y SU IMPACTO EN LA FUNCIÓN DEL INJERTO RENAL.
2009,Asociación de haplotipos de IL-10 con la producción de autoanticuerpos en pacientes con lupus eritematoso generalizado y Síndrome de Sjögren–Larsson primario
2007,ASOCIACIÓN DE LA PROTEÍNA DE UNIÓN DEL RETINOL Y SUS POLIMORFISMOS CON LA RESISTENCIA A LA INSULINA EN LA DIABETES GESTACIONAL
2008,"ASOCIACIÓN DE LOS NIVELES SÉRICOS DE ADOPONECTINA, LEPTINA Y RESISTINA CON EL RIESGO DE CÁNCER DE MAMA EN TRES ESTADOS DE LA REPÚBLICA MEXICANA"
2008,ASOCIACIÓN DE POLIMORFISMOS DE UN SOLO NUCLEÓTIDO EN GENES CANDIDATOS AL DESARROLLO DE DIABETES Y OBESIDAD EN UNA POBLACIÓN DERECHOHABIENTE DEL ISSSTE
2004,Asociación de polimorfismos en genes del metabolismo y transporte de folatos con los defectos de cierre de tubo neural en población yucateca
2007,ASOCIACIÓN DEL CÁNCER DE MAMA CON EL HAPLOTIPO T-66G/G-156GG DEL GEN SPP1 Y LOS NIVELES SÉRICOS DE OSTEOPONTINA EN MUJERES DEL NORTE DE MÉXICO
2008,ASOCIACIÓN DEL POLIMORFISMO C.-94C>G DEL GEN DELTA SARCOGLICANO EN PACIENTES CON CARDIOMIOPATÍA HIPERTRÓFICA: UN POTENCIAL MARCADOR GENÉTICO DE RIESGO
2003,ASOCIACIÓN ENTRE LA CAPACIDAD MASTICATORIA Y EL ESTADO FUNCIONAL DEL ANCIANO
2005,"ASOCIACIÓN ENTRE LA DEFICIENCIA DE ÁCIDO FOLICO , POLIMOFISMOS EN LOS GENES QUE PARTICIPAN EN SU METABOLISMO, HAPLOTIPOS HLA Y VIRUS DEL PAPILOMA HUMANO COMO FACTORES DE RIESGO EN DISPLASIA, CÁNCER IN SITU Y CÁNCER INVASOR DE CERVIX"
2007,"ASOCIACIÓN ENTRE LOS POLIMORFISMOS DE DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEÍNAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES."
2002,ASOCIACIÓN ENTRE MÚLTIPLES FÁRMACOS Y ENFERMEDAD RESIDUAL MÍNIMA EN PACIENTES CON LEUCEMIA AGUDA
2013,ASOCIACIÓN ENTRE POLIMORFISMOS DE GENES QUE CODIFICAN ENZIMAS RELACIONADAS CON EL GLUTATION Y EL RIESGO DE ISQUEMIA CEREBRAL EN POBLACIÓN MEXICANA
2011,"Asociación entre polimorfismos genéticos de proteínas involucradas en el transporte, metabolismo e interacción del fármaco oseltamivir y las reacciones adversas en pacientes del IMSS en el noreste de México."
2005,ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA
2002,ASPECTOS GENOMICOS DE LA CATARATA CONGENITA Y EFECTOS DE LA EXPRESIÓN GÉNICA IN SITU EN LA FORMACIÓN DE LA CARATARA SENIL
2007,AUTOINMUNIDAD A COMPONENTES DEL SISTEMA INMUNE Y SU IMPLICACIÓN EN ENFERMEDADES INFECCIOSAS.
2004,AUTOINMUNIDAD COMO UNA CAUSA DE SUSCEPTIBILIDAD SELECTIVA A INFECCIONES MICOBACTERIANAS EN HUMANOS.
2010,"Betaglicano soluble recombinante humano, un inhibidor terapéutico del TGF-beta."
2003,BIBLIOTECA DE MEDIOS AUDIOVISUALES DE EDUCACIÓN PARA LA SALUD EN DISCAPACIDAD Y REHABILITACIÓN.
2005,BIOINSECTICIDAS PARA EL CONTROL DE INSECTOS VECTORES DE ENFERMEDADES
2012,BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL
2010,Biomarcadores de falla temprana de las células beta en sujetos con Diabetes Mellitus tipo 2 y sujetos con prediabetes.
2010,Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular
2011,Biomarcadores diagnósticos para tuberculosis humana en sangre
2011,BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA
2008,BIOMARCADORES GENÓMICOS DE PREDICCIÓN DE RIESGO EN CÁNCER CERVICOUTERINO
2009,Biomarcadores para establecer un método de diagnóstico temprano para cáncer gástrico.
2010,"Biomarcadores para las infecciones causadas por M. tuberculosis, Micobacterias no tuberculosas y la vacunación con BCG."
2010,BIOMARCADORES PREDICTIVOS DE LA MODULACIÓN DE LA RESPUESTA INFLAMATORIA CON OXIGENOTERAPIA HIPERBÁRICA EN PACIENTES DIABÉTICOS CON INFECCIONES DE TEJIDOS BLANDOS
2011,Biomarcadores séricos y de Lavado Bronquio-alveolar en el diagnóstico diferencial y pronóstico para la Fibrosis Pulmonar Idiopática
2013,"Biomarcadores serológicos -estrógenos, factores trefoil 1-3 y ghrelina- en la progresión de gastritis atrófica a adenocarcinoma gástrico"
2007,BIOREMEDIACION Y TRATAMIENTO DE AGUAS RESIDUALES MEDIANTE TAPETES MICROBIANOS ACOPLADOS A MEMBRANAS: UNA OPCION PARA AUMENTAR LOS INDICES DE SANIDAD DE LOS MUNICIPIOS
2009,"BURNOUT, SOBRECARGA PERCIBIDA Y SINTOMATOLOGÍA ASOCIADA AL ESTRÉS EN AMAS DE CASA MEXICANAS."
2010,"Búsqueda de 5 genes ( PARK1/4, 2, 5,6,7 y 8) responsables de enfermed de Parkinson esporádica y familiar en población mexicana"
2013,"BÚSQUEDA DE AGREGADOS DE PROTEÍNAS TAU, SINUCLEÍNA Y TDP 43 EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS"
2010,BUSQUEDA DE CNVs EN INDIVIDUOS CON TRISOMÍA 21 Y MONOSOMIA X
2011,"Búsqueda de daño cromosómico estructural en espermatozoides de pacientes con linfoma de Hodgkin que fueron tratados con MOPP y ABVD, por medio de FISH multicolor: ensayo AM8."
2010,"BUSQUEDA DE FACTORES GENÉTICOS QUE CONFIERAN RIESGO EN EL DESARROLLO DE LA FALTA DE RESPUESTA A HIPOGLUCEMIANTES ORALES MEDIANTE LA CARACTERIZACIÓN DE FAMILIAS CON DIABETES EN UNA POBLACIÓN DE YUCATÁN, MÉXICO."
2005,BÚSQUEDA DE INDICADORES DE RESULTADOS QUIRÚRGICOS PARA MEDIR Y MEJORAR LA CALIDAD DE LOS SERVICIOS QUIRÚRGICOS EN LOS HOSPITALES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL. ESTUDIO PILOTO EN 3 HOSPITALES.
2008,BUSQUEDA DE MARCADORES AMBIENTALES Y MOLECULARES PARA PREDICCIÓN DE SUSCEPTIBILIDAD AL DESARROLLO DE DIABETES MELLITUS TIPO 2.
2009,BUSQUEDA DE MARCADORES MOLECULARES (EPIGENÉTICOS Y DE EXPRESIÓN) ASOCIADOS A LA RESPUESTA CLÍNICA EN PACIENTES CON CÁNCER CÉRVICO-UTERINO LOCALMENTE AVANZADO EMPLEANDO HERRAMIENTAS DE ANÁLISIS GENÓMICO.
2004,Búsqueda de marcadores para el monitoreo de la Enfermedad Residual Mínima en pacientes con Leucemia Linfoblástica Aguda
2009,Búsqueda de marcadores pronósticos mediante el análisis proteómico de biopsias de tumores de cancer de mama triples negativo en la poblacion mexicana.
2007,BÚSQUEDA DE NUEVOS ANTIMICÓTICOS CONTRA CEPAS DE CANDIDA SPP RESISTENTES A LOS ANTIFÚNGICOS CONVENCIONALES E IDENTIFICACIÓN DE NUEVOS BLANCOS MOLECULARES
2008,BÚSQUEDA DE NUEVOS COMPUESTOS LÍDERES PARA EL CONTROL DE HELICOBACTER PYLORI.
2008,BÚSQUEDA DE TROMBOFILIA INDUCIDA POR LA TERAPIA HORMONAL ANTICONCEPTIVA EN MUJERES MEXICANAS
2007,BÚSQUEDA E IDENTIFICACIÓN DE BIOMARCADORES DE CÁNCER DE MAMA Y DESARROLLO DE UN CHIP (PROTOTIPO) PARA EL DIAGNÓSTICO TEMPRANO
2008,BÚSQUEDA INTENCIONADA DE SALMONELLA.TYPHIMURIUM DT104 EN BROTES ASOCIADOS AL CONSUMO DE ALIMENTO Y EN CASOS AISLADOS EN MÉXICO.
2007,CALIBRACIÓN DEL TRAUMA AND INJURY SEVERITY SCORE (TRISS) EN POBLACIÓN MEXICANA PARA PREDICCIÓN DE MUERTE Y FUNCIÓNALIDAD MÚSCULOESQUELÉTICA. ESTUDIO MULTICÉNTRICO
2005,CALIDAD DE LA ATENCIÓN MÉDICA EN LOS SERVICIOS GERIÁTRICOS Y MÓDULOS GERONTOLÓGICOS DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO.
2003,CALIDAD DE VIDA (CV) EN HOMBRES CON OSTEOPOROSIS (OP)
2004,CALIDAD EN LA PRESCRIPCIÓN DE LA INCAPACIDAD TEMPORAL PARA EL TRABAJO Y SU IMPACTO ECONÓMICO
2012,Cambios en la conectividad cerebral durante el estado de reposo en el desarrollo infantil
2010,CAMBIOS EN LA REACTIVIDAD VASCULAR CEREBRAL EN PACIENTES MAYORES DE 65 AÑOS CON ALTERACIONES EN LA MEMORIA SEMÁNTICA COMO PREDICTOR DE DETERIORO COGNOSCITIVO VASCULAR SUBCORTICAL
2008,CAMBIOS EN LA SEROPREVALENCIA Y DISTRIBUCIÓN NACIONAL DE TOXOPLASMOSIS ENTRE 2000 Y 2006: ANÁLISIS DE LAS ENCUESTAS NACIONALES SALUD
2009,Cáncer de Mama y Exposición a Ftalatos en Mujeres del Norte de México
2008,CAPACIDAD DE AFILIACIÓN DE LAS FAMILIAS DE MIGRANTES A UN ESQUEMA DE SEGURO DE SALUD
2002,CARACTERÍSTICAS SOCIOECONÓMICAS Y GEOGRÁFICAS ASOCIADAS A LA TRANSMISIÓN DE HEPATITIS B EN LAS REGIONES DE MÉXICO DE MAYOR PREVALENCIA
2003,CARACTERÍSTICAS Y NECESIDADES DEL CUIDADOR PRIMARIO EN ENFERMEDADES NEURODEGENERATIVAS. DISEÑO Y EVALUACIÓN DE UN PROGRAMA DE INTERVENCIÓN
2009,Caracterización de las diferentes etapas en el desarrollo neurológico funcional y morfológico fetal.
2004,CARACTERIZACIÓN BIOQUÍMICA Y MOLECULAR DEL EFECTO INMUNOMODULADOR DE LA COLAGENA-POLIVINILPIRROLIDONA EN PATOLOGIAS FIBROSANTES.
2011,"Caracterización clínica, neuropsicológica y de la actividad eléctrica en adultos con daño cerebral secundario a Traumatismo Craneoencefálico ó a un evento Cerebro-Vascular; procedimientos diagnósticos y neurorehabilitación integral."
2009,CARACTERIZACIÓN CLÍNICO MOLECULAR DE PADECIMIENTOS GENODERMATOLÓGICOS EN POBLACIÓN MEXICANA
2012,CARACTERIZACIÓN DE ALTERACIONES CITOGENÉTICAS Y MOLECULARES EN PACIENTES CON MOSAICISMO PIGMENTARIO
2008,CARACTERIZACIÓN DE CEPAS DE E. COLI UROPATOGENAS DE MUJERES EMBARAZADAS CON INFECCIÓN URINARIA CRÓNICA: BASES MOLECULARES DE RESISTENCIA ANTIMICROBIANA E INVASIVIDAD
2009,Caracterización de cepas endémicas de Helicobacter pylori del Estado de Durango y estudio de genes implicados en la resistencia a antibióticos.
2008,CARACTERIZACIÓN DE FACTORES GENÉTICOS DE RIESGO PARA DESARROLLAR OBESIDAD EN PACIENTES MESTIZOS MEXICANOS
2003,CARACTERIZACIÓN DE GENES MODIFICADORES RELACIONADOS CON LA EXPRESIVIDAD VARIABLE DE LA FIBROSIS QUÍSTICA
2004,CARACTERIZACIÓN DE GENOTIPOS DE VHB EN POBLACIÓN MEXICANA PARA ESTABLECER ESTRATEGIAS ESPECIFICAS DE PREVENCIÓN Y TRATAMIENTO.
2010,Caracterización de la actividad de péptidos de amaranto sobre la diferenciación adipocítica y la actividad inhibitoria de la DPPIV
2013,"CARACTERIZACIÓN DE LA ACTIVIDAD FUNCIONAL DE STAT-3 EN PACIENTES CON SÍNDROME HIPER IGE, COMO MARCADOR PARA SU DETECCIÓN TEMPRANA."
2008,CARACTERIZACIÓN DE LA CONTRIBUCIÓN GENÉTICA ASOCIADA AL RIESGO A PADECER DEGENERACIÓN MACULAR RELACIÓNADA A LA EDAD EN POBLACIÓN MEXICANA.
2009,"Caracterización de la diversidad genética de virus de influenza circulantes en_x000D_
humanos, cerdos y aves"
2009,Caracterización de la diversidad genómica del virus de la inmunodeficiencia humana para identificar polimorfismos de relevancia clínica y utilidad práctica a través de una técnica molecular innovadora de alta resolución.
