Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDÍGENA"": SISTEMATIZACIÓN Y EVALUACIÓN DEL PROCESO",Instituto Nacional De Salud Pública,NORMA ESCAMILLA,,Comisión Nacional Para El Desarrollo De Los Pueblos Indigenas,
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDÍGENA"": SISTEMATIZACIÓN Y EVALUACIÓN DEL PROCESO",Instituto Nacional De Salud Pública,Margarita Márquez Serrano,,Instituto Nacional De Salúd Pública,CIENCIAS SOCIALES EN MEDICINA
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,NATALI GUERRERO VARGAS,,"Universidad Nacional Autónoma De México, UNAM",BIOLOGÍA HUMANA
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Cuauhtémoc Arturo Juárez Pérez,,Instituto Mexicano del Seguro Social,
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,LUISA ROCHA,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Farmacología
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,CLAUDIA CARMONA,,EGRESADA DEL CENTRO DE INVESTIAGACIÓN Y DE ESTUDIOS AVANZADOS DEL I.P.N.,Farmacología
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,Patricia García López,Nivel 1,"Instituto Nacional De Cardiología ""Ignacio Chavez""",Farmacología
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,RAFAEL JURADO,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",Farmacología
RESISTENCIA FARMACOCINÉTICA-FÁRMACODINÁMICA EN LA TERAPIA DEL CÁNCER,Instituto Nacional de Cancerología,GABRIEL GUIZAR SAHAGUN,Nivel 2,Instituto Mexicano del Seguro Social - UNIDAD DE INVESTIGACIÓN EN ENFERMEDADES NEUROLÓGICAS,Morfología
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",SARA CECILIA DÍAZ CASTRO,,Consejo Nacional de Ciencia y Tecnología Conacyt,
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",EMMA SORAIDA CALDERON ARANDA,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",JUAN ANTONIO DE ANDA MONTAÑEZ,,,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",TANIA ZENTENO SAVIN,Nivel 2,Consejo Nacional de Ciencia y Tecnología Conacyt,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",Norma Olguin Monroy,,Centro de Investigaciones Biologicas del Noroeste (CIBNOR),
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",RAMON GAXIOLA ROBLES,,Instituto Mexicano del Seguro Social,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",ADOLFO GARCÍA GONZÁLEZ,,,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",Orlando Lugo Lugo,,,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",Lia Celina Méndez Rodríguez,Nivel 1,,
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",Baudilio Acosta Vargas,,Consejo Nacional de Ciencia y Tecnología Conacyt,
BIOMARCADORES PARA MESOTELIOMA PLEURAL EN DERECHOHABIENTES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Leonor Concepción Acosta Saavedra,,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,Jaime Sepúlveda Amor,Nivel 1,Instituto Nacional De Salúd Pública,Epidemiología
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,María De Lourdes García García,Nivel 2,Instituto Nacional De Salúd Pública,Infectología y epidemiología
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,Rocío Islas Romero,,Instituto Nacional De Salúd Pública,Salud Pública
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,Juan Ruíz Gómez,,Instituto Nacional De Salúd Pública,Virología
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,José Luis Valdespino Gómez,Nivel 2,Instituto Nacional De Salúd Pública,Epidemiología
Respuesta inmune a la vacuna combinada contra sarampión rubéola y parotiditis (SRP) aplicada por aerosol o por vía subcutánea en adultos jóvenes,Instituto Nacional De Salud Pública,Jorge Fernández de Castro Peredo,,Instituto Nacional De Salúd Pública,Salud Pública
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,CARLOS JIMÉNEZ GUTIÉRREZ,,Instituto Nacional De Pediatría,EPIDEMIOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,José Luis Valdespino Gómez,Nivel 2,Escuela de Salud Pública de México - Instituto Nacional De Salud Pública,VACUNAS
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,JOSEPH BELLANTI,,UNIVERSIDAD DE GEORGETOWN,INMUNOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,JULIA MÉNDEZ DE INOCENCIO,,UNIVERSIDAD DE GEORGETOWN,INMUNOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,Ma. De Lourdes García García,Nivel 2,Instituto Nacional De Salúd Pública,INFECTOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,Rocío Aidee Castillo Cruz,,Instituto Nacional de Pediatría,PEDIATRÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,Juan Ruíz Gómez,,Instituto Nacional De Salúd Pública,Virología
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,MANUEL PALACIOS MARTÍNEZ,,Instituto Nacional De Salúd Pública,EPIDEMIOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,Rocío Islas Romero,,Instituto Nacional De Salúd Pública,EPIDEMIOLOGÍA
RESPUESTA INMUNE EN MUCOSAS RESPIRATORIAS A LA PRIMOVACUNACIÓN CONTRA SARAMPIÓN EN AEROSOL EN NIÑOS DE 12 MESES,Instituto Nacional De Salud Pública,BARBARA ZELIGS,,UNIVERSIDAD DE GEORGETOWN,
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional De Salud Pública,Juan Eugenio Hernández Ávila,Nivel 1,Instituto Nacional De Salúd Pública,Geografía Médica
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional De Salud Pública,Hortensia Reyes Morales,Nivel 1,Instituto Nacional De Salúd Pública,MEDICINA INTERNA
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional De Salud Pública,LUCIA BERTHA YAÑEZ VELAZCO,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Medición y Evaluación de Atención Médica
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional De Salud Pública,Ricardo Enrique Pérez Cuevas,Nivel 1,Instituto Mexicano del Seguro Social,Sistemas de Salud
Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad,Instituto Nacional De Salud Pública,LUZ MARÍA GONZÁLEZ ROBLEDO,,Instituto Nacional De Salúd Pública,Sistemas de Salud
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,ROSENDO LURIA PÉREZ,,Hospital Infantil De México Federico Gómez,VACUNAS
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,CESAR RAÚL GONZÁLEZ BONILLA,Nivel 2,Instituto Mexicano del Seguro Social,VACUNAS
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,Sara Huerta Yépez,Nivel 1,Hospital Infantil De México Federico Gómez,
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,AURORA MEDINA SANSORES,Nivel 1,Hospital Infantil De México Federico Gómez,
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.",Hospital Infantil De México Federico Gómez,Mario Israel Vega Paredes,Nivel 1,Instituto Mexicano del Seguro Social,
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",JOSE RICARDO CIRIA MERCE,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR  Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",CRISTHIAN EDUARDO MARTINEZ GUERRERO,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",DESARROLLO DE SOFTWARE
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",MARIO ALBERTO MARTINEZ NUÑEZ,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ALMA LIDIA MARTINEZ VALLE,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR  Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ENRIQUE MERINO PÉREZ,Nivel 2,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR  Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ZUEMY RODRÍGUEZ ESCAMILLA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ROSA MARIA GUTIÉRREZ RIOS,Candidato,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ANA LUCIA GUTIÉRREZ PRECIADO,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",VIRIDIANA AVILA MAGNA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",BIOLOGÍA MOLECULAR Y BIOINFORMÁTICA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",EUGENIO LÓPEZ BUSTOS,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",SECUENCIACIÓN DE DNA Y RNA
RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",MARIA LUISA TABCHE BARRERA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",TÉCNICAS DE BIOLOGÍA MOLECULAR EN GENERAL
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,CHRISTINA DESIREE SIEBE GRABACH,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",EDAFOLOGIA
ÓRTESIS PARA EL CONTROL DE LA ALINEACIÓN METATARSO-FALÁNGICA POSTERIOR AL TRATAMIENTO QUIRÚRGICO CORRECTIVO DE HALLUX VALGUS POR TÉCNICA MÍNIMAMENTE INVASIVA.,Centro Nacional De Rehabilitación,Lidia Núñez Carrera,,Centro Nacional De Rehabilitación,Biomédicas
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,MARGARITA SÁNCHEZ ARIAS,,Instituto Nacional De Salúd Pública,
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,ANA CECILIA ESPINOSA GARCÍA,Candidato,,MICROBIOLOGÍA EN AGUA
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,IRMA AURORA ROSAS PÉREZ,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",AEROBIOLOGÍA
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,Horacio Riojas Rodríguez,Nivel 1,Instituto Nacional De Salúd Pública,Salud Ambiental
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,SANDRA LETICIA RODRÍGUEZ DOZAL,,Instituto Nacional De Salúd Pública,Salud Ambiental
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,MARIA ALEJANDRA TERRAZAS MERAZ,,Universidad Autónoma Del Estado de Morelos,Salud Ambiental
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,NATIVIDAD SARA CONCEPCION GARCÍA JIMÉNEZ,Nivel 1,Universidad Autónoma Del Estado de Morelos,FARMACOLOGÍA CLÍNICA
Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos,Instituto Nacional De Salud Pública,DAVID HERNÁNDEZ BONILLA,,Instituto Nacional De Salúd Pública,
Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular,Instituto Nacional de Enfermedades Respiratorias,Edgar Enrique Sevilla Reyes,,Instituto Nacional de Enfermedades Respiratorias,HERPESVIRUS
Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México,Instituto Nacional De Salud Pública,HELENA COTLER AVALOS,,INSTITUTO NACIONAL DE ECOLOGIA,
Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México,Instituto Nacional De Salud Pública,Juan Eugenio Hernández Ávila,Nivel 1,Instituto Nacional De Salúd Pública,
Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México,Instituto Nacional De Salud Pública,Horacio Riojas Rodríguez,Nivel 1,Instituto Nacional De Salúd Pública,
Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México,Instituto Nacional De Salud Pública,José Luis Texcalac Sangrador,,Instituto Nacional De Salúd Pública,
Riesgos a la salud por degradación y contaminación ambiental en las cuencas hidrográficas de México,Instituto Nacional De Salud Pública,MAGALI HURTADO DÍAZ,,Instituto Nacional De Salúd Pública,
Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular,Instituto Nacional de Enfermedades Respiratorias,ARNOLDO AQUINO GALVEZ,Candidato,Secretaría de Salud,
Salud mental de mamás y bebés: prevención de la depresión posparto,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Claudia Navarro Guzman,,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",investigación
Salud mental de mamás y bebés: prevención de la depresión posparto,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Laura Elena Navarrete Reyes,,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Clinica e investigación
Salud mental de mamás y bebés: prevención de la depresión posparto,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Maria Del Socorro Luna Avila,,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",Comunicación Educativa
Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular,Instituto Nacional de Enfermedades Respiratorias,Ana Paulina Barba De la Rosa,Nivel 2,Consejo Nacional de Ciencia y Tecnología Conacyt,Proteómica
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,JUDITH ORTEGA CANTO,Nivel 2,"Universidad Autónoma De Yucatán, CENTRO DE INVESTIGACIONES REGIONALES",ANTROPOLOGÍA MÉDICA Y SOCIOCULTURAL
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,MARIA GUADALUPE ANDUEZA PECH,,"Universidad Autónoma De Yucatán, CENTRO DE INVESTIGACIONES REGIONALES",SALUD MATERNA
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,PATRIZIA QUATTROCCHI,,"UNIVERSIDAD LA ZAPIENZA, ROMA, ITALIA",ANTROPOLOGÍA SOCIAL Y CULTURAL
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,VICTOR COBOS GASCA,Nivel 1,"Universidad Autónoma De Yucatán - Facultad de medicina VETERINARIA Y ZOOTECNIA, CAMPUS CIENCIAS BIOLOGICAS Y AGROPECUARIAS. DEPARTAMENTO DE ECOLOGIA",CONTAMINACIÓN POR AGROQUÍMICOS Y PESTICIDAS
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,ANGEL GABRIEL POLANCO RODRIGUEZ,,"Universidad Autónoma De Yucatán,  CENTRO DE INVESTIGACIONES REGIONALES - DEPARTAMENTO DE MEDICINA SOCIAL Y SALUD PUBLICA,","MANEJO Y CONSERVACION DE RECURSOS NATURALES TROPICALES, SIG, DESARROLLO RURAL SUSTENTABLE"
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,RUBÉN CÁMARA VALLEJO,,"CENTRO DE INVESTIGACIONES REGIONALES ""DR. HIDEYO NOGUCHI"", UADY - Facultad de medicina",ANTROPOLOGÍA MÉDICA
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO, FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN",Universidad Autónoma De Yucatán,Ángel Cirilo Lendechy Grajales,,Universidad Autónoma De Yucatán,GLOBALIZACION Y DESARROLLO INTERNACIONAL
Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular,Instituto Nacional de Enfermedades Respiratorias,Luis Horacio Gutiérrez González,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,Proteómica
